categoryId,name,modifiedOn,displayName,seoCategoryName,categoryDescription,categoryPageTitle,sealedLabel,nonSealedLabel,conditionGuideUrl,isScannable,popularity,isDirect
1,Magic,2026-07-24T20:52:08.73,Magic: The Gathering,Magic the Gathering TCG (MTG),"Ignite your Planeswalker spark with Magic: The Gathering! Buy MTG singles, booster packs, Commander decks, and the latest sets from thousands of trusted sellers. Whether you're building your first deck or growing your collection, you'll find everything you need on TCGplayer.","TCGplayer - Buy Magic: The Gathering Cards, Singles, and Set",Sealed Products,Single Cards,https://store.tcgplayer.com/conditions/magic.aspx,True,7233794,True
2,YuGiOh,2026-07-24T17:23:24.18,YuGiOh,YuGiOh,"It's time to duel! Browse Yu-Gi-Oh singles, booster boxes, Structure Decks, and the latest sets from thousands of trusted sellers. Whether you're building your first deck or chasing tournament staples, you'll find everything you need on TCGplayer.","TCGplayer - Buy YuGiOh TCG Cards, Singles, and Set",Sealed Products,Single Cards,https://store.tcgplayer.com/help/yugiohconditions,True,1058057,True
3,Pokemon,2026-07-25T00:10:31.347,Pokemon,Pokemon,"Trainers, your Pokémon adventure starts here! Whether you're a champ in the making or trying to catch 'em all from the latest sets, browse and buy Pokémon cards, booster boxes, Elite Trainer Boxes, and card packs at the best prices from thousands of sellers.","TCGplayer - Buy Pokémon TCG Cards, Singles, and Pack",Sealed Products,Single Cards,https://store.tcgplayer.com/help/cardconditionguide,True,576635,True
4,Axis & Allies,2024-08-30T21:04:46.373,Axis & Allies,Axis & Allies,,,Sealed Products,Miniatures,https://store.tcgplayer.com/,False,0,False
5,Boardgames,2023-07-25T19:21:49.43,Boardgames,Boardgames,,,Sealed Products,Unopened Games,https://store.tcgplayer.com/,False,1,False
6,D & D Miniatures,2017-03-01T11:03:09.737,D & D Miniatures,D & D Miniatures,Bring your Dungeons & Dragons game to life with tactical miniatures depicting all the races and monsters of Faerûn and beyond! Shop thousands of sellers for the best prices on D&D miniatures.,TCGplayer - Buy D&D miniatures,Sealed Products,Miniatures,https://store.tcgplayer.com/,False,1668,False
7,Epic,2023-07-25T16:40:39.377,Epic,Epic,,,Sealed Products,Single Cards,https://store.tcgplayer.com/,False,0,False
8,Heroclix,2026-04-14T14:37:02.457,Heroclix,Heroclix,"Lead your favorite characters to victory in the #1 selling collectible miniatures game! Shop thousands of sellers for the best prices on HeroClix figures, booster bricks, and more.","TCGplayer - Buy HeroClix figures, booster bricks, and more",Sealed Products,Figures,https://store.tcgplayer.com/help/heroclixconditions,False,7808,False
9,Monsterpocalypse,2024-04-02T14:19:22.157,Monsterpocalypse,Monsterpocalypse,,,Sealed Products,Single Cards,https://store.tcgplayer.com/,False,0,False
10,Redakai,2024-03-20T17:13:05.317,Redakai,Redakai,,,Sealed Products,Single Cards,https://store.tcgplayer.com/help/cardconditionguide,False,660,False
11,Star Wars Miniatures,2018-08-02T18:53:18.143,Star Wars Miniatures,Star Wars Miniatures,,,Sealed Products,Miniatures,https://store.tcgplayer.com/,False,0,False
12,World of Warcraft Miniatures,2023-07-25T19:15:36.453,World of Warcraft Miniatures,World of Warcraft Miniatures,,,Sealed Products,Miniatures,https://store.tcgplayer.com/,False,0,False
13,WoW,2024-01-16T19:17:47.667,WoW,WoW,"Join the Alliance or the Horde and fight for the fate of Azeroth! Shop thousands of sellers for the best prices on World of Warcraft TCG cards, booster boxes, raid decks, and more.","TCGplayer - Buy World of Warcraft TCG cards, booster boxes, raid decks, and more",Sealed Products,Single Cards,https://store.tcgplayer.com/help/cardconditionguide,True,10983,False
14,Supplies,2024-08-30T18:15:34.427,Supplies,Supplies,,,Sealed Products,Products,https://store.tcgplayer.com/,False,2508,False
15,Organizers & Stores,2023-07-25T19:24:07.837,Organizers and Stores,Organizers and Stores,,,Sealed Products,Event Kits,https://store.tcgplayer.com/,False,6,False
