Display Name,Card Code
[BT26] TIMELESS BONDS,BT26
[BT25] DUAL REVOLUTION,BT25
[BT24] TIME STRANGER,BT24
[BT23] HACKERS’ SLUMBER,BT23
[BT22] CYBER EDEN,BT22
[BT21] WORLD CONVERGENCE,BT21
[BT20] OVER THE X,BT20
[BT19] クロスエボリューション,BT19
[BT18] エレメントサクセサー,BT18
[BT17] シークレットクライシス,BT17
[BT16] BEGINNING OBSERVER,BT16
[BT15] エクシード・アポカリプス,BT15
[BT14] BLAST ACE,BT14
[BT13] VSロイヤルナイツ,BT13
[BT12] アクロス・タイム,BT12
[BT11] ディメンショナルフェイズ,BT11
[BT10] クロスエンカウンター,BT10
[BT09] Xレコード,BT09
[BT08] ニューヒーロー,BT08
[BT07] ネクストアドベンチャー,BT07
[BT06] ダブルダイヤモンド,BT06
[BT05] バトルオブオメガ,BT05
[BT04] グレイトレジェンド,BT04
[BT03] ユニオンインパクト,BT03
[BT02] ULTIMATE POWER,BT02
[BT01] NEW EVOLUTION,BT01
[ST24] DIGIMON SAVERS,ST24
[ST23] DIGIMON BEATBREAK,ST23
[ST22] 金剛界曼荼羅,ST22
[ST21] HERO OF HOPE,ST21
[ST20] PROTECTOR OF LIGHT,ST20
[ST19] 童話の舞踏,ST19
[ST18] 旋風の守護者,ST18
[ST17] ダブルタイフーン,ST17
[ST16] 友情の鋼狼,ST16
[ST15] 勇気の戦竜,ST15
[ST14] ベルゼブモン,ST14
[ST13] ラグナロードモン,ST13
[ST12] ジエスモン,ST12
[ST11] スペシャルエントリーセット,ST11
[ST10] 異世界の軍師,ST10
[ST9] 究極の古代竜,ST9
[ST8] アルフォースブイドラモン,ST8
[ST7] デュークモン,ST7
[ST6] ヴェノムヴァイオレット,ST6
[ST5] ムゲンブラック,ST5
[ST4] ギガグリーン,ST4
[ST3] ヘブンズイエロー,ST3
[ST2] コキュートスブルー,ST2
[ST1] ガイアレッド,ST1
[EX12] DIGITAL WORLD SHAMBALA,EX12
[EX11] DAWN OF LIBERATOR,EX11
[EX10] SINISTER ORDER,EX10
[EX09] VERSUS MONSTERS,EX09
[EX08] CHAIN OF LIBERATION,EX08
[EX07] デジモンリベレイター,EX07
[EX06] インファナル・アセンション,EX06
[EX05] アニマルコロシアム,EX05
[EX04] オルタナティブビーイング,EX04
[EX03] ドラゴンズロア,EX03
[EX02] デジタルハザード,EX02
[EX01] クラシックコレクション,EX01
[RB01] ライジングウインド,RB01
[AD01] DIGIMON GENERATION,AD01
[promo-300] [P-201]〜[P-300],promo-300
[promo-200] [P-101]〜[P-200],promo-200
[promo-100] [P-001]〜[P-100],promo-100
[EX1] 〜[EX20],EX1
[LM01] 〜[LM20],LM01
[lm07] 【LM-07】リミテッドカードパック ANOTHER KNIGHT,lm07
[lm06] 【LM-06】リミテッドカードパック ビリオン・バレット,lm06
[lm05] 【LM-05】リミテッドカードパック ファイナル・エリシオン,lm05
[lm04] 【LM-04】リミテッドカードパック トリッドヴァイス,lm04
[lm03] 【LM-03】リミテッドカードセット2024,lm03
[lm02] 【LM-02】リミテッドカードパック デクスモン,lm02
[lm01] 【LM-01】リミテッドカードパック デジモンゴーストゲーム,lm01
[other-pr] その他プロモーション,other-pr
