Display Name,Card Code
[dm26rp2] [DM26-RP2] 逆札篇 第2弾 燃えろ禁断!逆転のドギラゴン革命!!,dm26rp2
[dm26rp1] [DM26-RP1] 逆札篇 第1弾 逆転神VS切札竜,dm26rp1
[dm25rp4] [DM25-RP4] 王道W 第4弾 終淵 ～LOVE＆ABYSS～,dm25rp4
[dm25rp3] [DM25-RP3] 王道W 第3弾 邪神vs時皇 ～ビヨンド・ザ・タイム～,dm25rp3
[dm25rp2] [DM25-RP2] 王道W 第2弾 邪神vs邪神II ～ジャシン・イン・ザ・シェル～,dm25rp2
[dm25rp1] [DM25-RP1] 王道W 第1弾 邪神vs邪神 ～ソウル・オブ・ジ・アビス～,dm25rp1
[dm24rp4] [DM24-RP4] 王道篇 第4弾「悪魔神、復活」,dm24rp4
[dm24rp3] [DM24-RP3] 王道篇 第3弾「ゴールド・オブ・ハイパーエンジェル」,dm24rp3
[dm24rp2] [DM24-RP2] 王道篇 第2弾「カイザー・オブ・ハイパードラゴン」,dm24rp2
[dm24rp1] [DM24-RP1] 王道篇 第1弾「デーモン・オブ・ハイパームーン」,dm24rp1
[dm23rp4x] [DM23-RP4X] アビス・レボリューション 第4弾「竜皇神爆輝」超刺激パック,dm23rp4x
[dm23rp4] [DM23-RP4] アビス・レボリューション 第4弾「竜皇神爆輝」,dm23rp4
[dm23rp3] [DM23-RP3] アビス・レボリューション 第3弾「魔覇革命」,dm23rp3
[dm23rp2x] [DM23-RP2X] アビス・レボリューション 第2弾「忍邪乱武」超刺激パック,dm23rp2x
[dm23rp2] [DM23-RP2] アビス・レボリューション 第2弾「忍邪乱武」,dm23rp2
[dm23rp1] [DM23-RP1] アビス・レボリューション 第1弾「双竜戦記」,dm23rp1
[dm22rp2x] [DM22-RP2X] ゴッド・オブ・アビス 第2弾「轟炎の竜皇」超刺激パック,dm22rp2x
[dm22rp2] [DM22-RP2] ゴッド・オブ・アビス 第2弾「轟炎の竜皇」,dm22rp2
[dm22rp1] [DM22-RP1] ゴッド・オブ・アビス 第1弾「伝説の邪神」,dm22rp1
[dmrp22] [DMRP-22] 王来MAX 拡張パック最終弾 切札!マスターCRYMAX!!,dmrp22
[dmrp21] [DMRP-21] 王来MAX 拡張パック第1弾 鬼ヤバ逆襲S-MAX!!,dmrp21
[dmrp20] [DMRP-20] 王来篇 拡張パック第4弾 終末王龍大戦,dmrp20
[dmrp19] [DMRP-19] 王来篇 拡張パック第3弾 禁断龍VS禁断竜,dmrp19
[dmrp18] [DMRP-18] 王来篇 拡張パック第2弾 禁時王の凶来,dmrp18
[dmrp17] [DMRP-17] 王来篇 拡張パック第1弾 王星伝説超動,dmrp17
[dmrp16] [DMRP-16] 十王篇 拡張パック第4弾 百王×邪王 鬼レヴォリューション!!!,dmrp16
[dmrp15] [DMRP-15] 十王篇 拡張パック第3弾 幻龍×凶襲 ゲンムエンペラー!!!,dmrp15
[dmrp14] [DMRP-14] 十王篇 拡張パック第2弾 爆皇×爆誕 ダイナボルト!!!,dmrp14
[dmrp13] [DMRP-13] 十王篇 拡張パック第1弾 切札×鬼札 キングウォーズ!!!,dmrp13
[dmrp12] [DMRP-12] 超天篇 拡張パック第4弾 超超超天!覚醒ジョギラゴン vs. 零龍卍誕,dmrp12
[dmrp11] [DMRP-11] 超天篇 拡張パック第3弾 零誕!魔神おこせジョルネード1059!!,dmrp11
[dmrp10] [DMRP-10] 超天篇 拡張パック第2弾 青きC.A.P.と漆黒の大卍罪,dmrp10
[dmrp09] [DMRP-09] 超天篇 拡張パック第1弾 新世界ガチ誕!超GRとオレガ・オーラ!!,dmrp09
[dmrp08] [DMRP-08] 双極篇 拡張パック第4弾 超決戦!バラギアラ!!無敵オラオラ輪廻∞,dmrp08
[dmrp07] [DMRP-07] 双極篇 拡張パック第3弾 †ギラギラ†煌世主と終葬のQX!!,dmrp07
[dmrp06] [DMRP-06] 双極篇 拡張パック第2弾 逆襲のギャラクシー 卍・獄・殺!!,dmrp06
[dmrp05] [DMRP-05] 双極篇 拡張パック第1弾 轟快!! ジョラゴンGo Fight!!,dmrp05
[dmrp04m] [DMRP-04魔] 拡張パック新4弾 誕ジョー! マスタードルスザク!! -無月の魔凰-,dmrp04m
[dmrp04s] [DMRP-04裁] 拡張パック新4弾 誕ジョー! マスタードラゴン!! -正義ノ裁キ-,dmrp04s
[dmrp03] [DMRP-03] 拡張パック新3弾 気分J・O・E×2 メラ冒険!!,dmrp03
[dmrp02] [DMRP-02] 拡張パック新2弾 マジでB・A・Dなラビリンス!!,dmrp02
[dmrp01] [DMRP-01] 拡張パック新1弾 ジョーカーズ参上!!,dmrp01
[dmr23] [DMR-23] 革命ファイナル 拡張パック第3章 ドギラゴールデンVSドルマゲドンX,dmr23
[dmr22] [DMR-22] 革命ファイナル 拡張パック第2章 世界は0だ!!ブラックアウト!!,dmr22
[dmr21] [DMR-21] 革命ファイナル 拡張パック第1章 ハムカツ団とドギラゴン剣,dmr21
[dmr20] [DMR-20] 革命 拡張パック第4章 正体判明のギュウジン丸!!,dmr20
[dmr19] [DMR-19] 革命 拡張パック第3章 禁断のドキンダムX,dmr19
[dmr18] [DMR-18] 革命 拡張パック第2章 時よ止まれミラダンテ!!,dmr18
[dmr17] [DMR-17] 革命 拡張パック第1章 燃えろドギラゴン!!,dmr17
[dmr16g] [DMR-16極] ドラゴン・サーガ 拡張パック第4章 超戦ガイネクスト×極,dmr16g
[dmr16s] [DMR-16真] ドラゴン・サーガ 拡張パック第4章 超戦ガイネクスト×真,dmr16s
[dmr15] [DMR-15] ドラゴン・サーガ 拡張パック第3章 双剣オウギンガ,dmr15
[dmr14] [DMR-14] ドラゴン・サーガ 拡張パック第2章 暴龍ガイグレン,dmr14
[dmr13] [DMR-13] ドラゴン・サーガ 拡張パック第1章 龍解ガイギンガ,dmr13
[dmr12] [DMR-12] エピソード3 オメガ∞マックス,dmr12
[dmr11] [DMR-11] エピソード3 ウルトラＶマスター,dmr11
[dmr10] [DMR-10] エピソード3 デッド&amp;ビート,dmr10
[dmr09] [DMR-09] エピソード3 レイジVSゴッド,dmr09
[dmr08] [DMR-08] エピソード2 グレイト・ミラクル,dmr08
[dmr07] [DMR-07] エピソード2 ゴールデン・ドラゴン,dmr07
[dmr06] [DMR-06] エピソード2 ビクトリー・ラッシュ,dmr06
[dmr05] [DMR-05] エピソード2 ゴールデン・エイジ,dmr05
[dmr04] [DMR-04] エピソード1 ライジング・ホープ,dmr04
[dmr03] [DMR-03] エピソード1 ガイアール・ビクトリー,dmr03
[dmr02] [DMR-02] エピソード1 ダークサイド,dmr02
[dmr01] [DMR-01] エピソード1 ファースト・コンタクト,dmr01
[dm39] [DM-39] 覚醒編 第4弾 覚醒爆発,dm39
[dm38] [DM-38] 覚醒編 第3弾 超竜VS悪魔,dm38
[dm37] [DM-37] 覚醒編 第2弾 暗黒の野望,dm37
[dm36] [DM-36] 覚醒編 第1弾,dm36
[dm35] [DM-35] 神化編 第4弾 超極竜VS六体神,dm35
