Display Name,Card Code
[B01] 英雄たちの戦刃,B01
[B02] 光と闇の神焔,B02
[B03] 希望への雙剣,B03
[B04] 煌めき幻奏,B04
[B05] 相剋を越えて,B05
[B06] 閃駆ノ騎影,B06
[B07] 士道を征く,B07
[B08] 生と死−運命の先へ,B08
[B09] 響地轟轟,B09
[B10] クロスローズ,B10
[B11] 赫赫たる双撃,B11
[B12] 荒れ狂う破濤,B12
[B13] 炎と鋼と想と哀と,B13
[B14] 瞳の見つめる未来,B14
[B15] 輝く世界,B15
[B16] 勇気よ燃ゆる魂よ,B16
[B17] 英雄総進軍,B17
[B18] 雄飛のオラトリオ,B18
[B19] 覇天の聖焔,B19
[B20] その手が導く夜明け,B20
[B21] 劫火の嵐,B21
[B22] 英雄たちの凱歌,B22
[ST01] 暗黒戦争篇,ST01
[ST02] 覚醒篇,ST02
[ST03] 白夜篇,ST03
[ST04] 暗夜篇,ST04
[ST05] 蒼炎の軌跡篇,ST05
[ST06] 幻影篇,ST06
[ST07] 封印動乱篇,ST07
[ST08] 聖戦の系譜篇,ST08
[ST09] 神々の大地篇,ST09
[ST10] 烈火の剣篇,ST10
[ST11] 絆の戦士たち篇,ST11
[ST12] 風花雪月篇,ST12
[P01] 〜[P10],P01
[P11] 〜[P20],P11
[P21] 〜[P30],P21
