Display Name,Card Code
[gd05] Freedom Ascension [GD05],gd05
[gd04] Phantom Aria [GD04],gd04
[gd03] Steel Requiem [GD03],gd03
[gd02] Dual Impact [GD02],gd02
[gd01] Newtype Rising [GD01],gd01
[st10] Generation Pulse [ST10],st10
[st09] Destiny Ignition [ST09],st09
[st08] Flash of Radiance [ST08],st08
[st07] Celestial Drive [ST07],st07
[st06] Clan Unity [ST06],st06
[st05] Iron Bloom [ST05],st05
[st04] SEED Strike [ST04],st04
[st03] Zeon’s Rush [ST03],st03
[st02] Wings of Advance [ST02],st02
[st01] Heroic Beginnings [ST01],st01
[eb01] Eternal Nexus [EB01],eb01
[sc01] カスタムデッキボックスFreedom Ascension [SC01],sc01
[GD01] 〜[GD10],GD01
[ST01] 〜[ST20],ST01
[promo-t100] [T-001]～[T-100],promo-t100
[rp-100] [RP-001]～[RP-100],rp-100
[exbp-100] [EXBP-001]～[EXBP-100],exbp-100
[exrp-100] [EXRP-001]～[EXRP-100],exrp-100
[limited1.0] リミテッドBOX Ver.β,limited1.0
[reto] リソース・トークン,reto
