Display Name,Card Code
[hBP08] バウンサーバウンド,hBP08
[hBP07] ディーヴァフィーバー,hBP07
[hBP06] アヤカシヴァーミリオン,hBP06
[hBP05] エンチャントレガリア,hBP05
[hBP04] キュリアスユニバース,hBP04
[hBP03] エリートスパーク,hBP03
[hBP02] クインテットスペクトラム,hBP02
[hBP01] ブルーミングレディアンス,hBP01
[hSD19] 大空スバル,hSD19
[hSD18] 森カリオペ,hSD18
[hSD17] 星街すいせい,hSD17
[hSD16] さくらみこ,hSD16
[hSD15] 儒烏風亭らでん,hSD15
[hSD14] 白上フブキ,hSD14
[hSD13] Justice,hSD13
[hSD12] Advent,hSD12
[hSD11] 虎金妃笑虎,hSD11
[hSD10] 輪堂千速,hSD10
[hSD09] 宝鐘マリン,hSD09
[hSD08] 天音かなた,hSD08
[hSD07] 不知火フレア,hSD07
[hSD06] 風真いろは,hSD06
[hSD05] 轟はじめ,hSD05
[hSD04] 癒月ちょこ,hSD04
[hSD03] 猫又おかゆ,hSD03
[hSD02] 百鬼あやめ,hSD02
[hSD01] ときのそら＆AZKi,hSD01
[hEB01] サマー・ホログラム,hEB01
[ohc02] オフィシャルホロカコレクション-2025ライブセット-,ohc02
[ohc01] オフィシャルホロカコレクション-PCセット-,ohc01
[hYS01] エールセット,hYS01
[yell01] エール,yell01
[promo-100] hPR-001～hPR-100,promo-100
[promo-hbp10] hBP01～hBP10,promo-hbp10
[promo-hsd10] hSD01～hSD10,promo-hsd10
[promo-heb10] hEB01～hEB10,promo-heb10
[promo-hbd20] hBD24～hBD30,promo-hbd20
