Display Name,Card Code
[fgo3.0] Fate/GrandOrder 3.0,fgo3.0
[fgo2.0] Fate/GrandOrder 2.0,fgo2.0
[fgo1.0] Fate/GrandOrder 1.0,fgo1.0
[bb1.0] ブレイブソード×ブレイズソウル 1.0,bb1.0
[garupanlast1.0] ガールズ＆パンツァー最終章 1.0,garupanlast1.0
[garupan1.0] ガールズ＆パンツァー 戦車道大作戦！ 1.0,garupan1.0
[yuzu3.0] ゆずソフト 3.0,yuzu3.0
[yuzu2.0] ゆずソフト 2.0,yuzu2.0
[yuzu1.0] ゆずソフト 1.0,yuzu1.0
[kamihime1.0] 神姫PROJECT 1.0,kamihime1.0
[august3.0] オーガスト 3.0,august3.0
[august2.0] オーガスト 2.0,august2.0
[august1.0] オーガスト 1.0,august1.0
[va3.0] ビジュアルアーツ 3.0,va3.0
[va2.0] ビジュアルアーツ 2.0 -サガプラネッツ Edition-,va2.0
[va1.0] ビジュアルアーツ 1.0 - Key Perfect Edition -,va1.0
[aigis2.0] 千年戦争アイギス 2.0,aigis2.0
[aigis1.0] 千年戦争アイギス 1.0,aigis1.0
[aquaplus2.0] アクアプラス 2.0,aquaplus2.0
[aquaplus1.0] アクアプラス 1.0,aquaplus1.0
[toarura1.0] とある科学の超電磁砲T＆とある科学の一方通行,toarura1.0
[toaru1.0] とある魔術の禁書目録III,toaru1.0
[siropuro1.0] 御城プロジェクト:RE 1.0,siropuro1.0
[nexton4.0] ネクストン 4.0,nexton4.0
[nexton3.0] ネクストン 3.0,nexton3.0
[nexton2.0] ネクストン 2.0,nexton2.0
[nexton1.0] ネクストン 1.0,nexton1.0
[purple2.0] パープルソフトウェア 2.0,purple2.0
[purple1.0] パープルソフトウェア 1.0,purple1.0
[palette1.0] ぱれっと 1.0,palette1.0
[hsa1.0] HOOKSOFT&amp;SMEE&amp;ASa Project,hsa1.0
[hooksoft1.0] HOOKSOFT 1.0,hooksoft1.0
[navel2.0] Navel 2.0,navel2.0
[navel1.0] Navel 1.0,navel1.0
[giga1.0] 戯画 1.0,giga1.0
[whirlpool20th] Whirlpool 20th Anniversary &amp; Finale!,whirlpool20th
[whirlpool1.0] Whirlpool 1.0,whirlpool1.0
[alicesoft1.0] アリスソフト 1.0,alicesoft1.0
[sagaplanets1.0] サガプラネッツ 1.0,sagaplanets1.0
[digination1.0] DiGination 1.0,digination1.0
[windmill1.0] ういんどみる 1.0,windmill1.0
[madosoft1.0] まどそふと 1.0,madosoft1.0
[amusecraft1.0] アミューズクラフト 1.0,amusecraft1.0
[keromakura1.0] ケロQ・枕 1.0,keromakura1.0
[marmalade1.0] ま〜まれぇど 1.0,marmalade1.0
[cabbagesoft1.0] きゃべつそふと 1.0,cabbagesoft1.0
[nitroorigin1.0] ニトロオリジン 1.0,nitroorigin1.0
[sagaplanets&amp;hsa] サガプラネッツ&amp;HOOKSOFT&amp;SMEE&amp;ASa Project,sagaplanets&amp;hsa
[promo] その他プロモーションカード,promo
