Display Name,Card Code
[OP17] 世界最強の戦士,OP17
[OP16] 決戦の刻,OP16
[OP15] 神の島の冒険,OP15
[OP14] 蒼海の七傑,OP14
[OP13] 受け継がれる意志,OP13
[PRB02] ONE PIECE CARD THE BESTvol.2,PRB02
[OP12] 師弟の絆,OP12
[OP11] 神速の拳,OP11
[OP10] 王族の血統,OP10
[OP09] 新たなる皇帝,OP09
[PRB01] ONE PIECE CARD THE BEST,PRB01
[OP08] 二つの伝説,OP08
[OP07] 500年後の未来,OP07
[OP06] 双璧の覇者,OP06
[OP05] 新時代の主役,OP05
[OP04] 謀略の王国,OP04
[OP03] 強大な敵,OP03
[OP02] 頂上決戦,OP02
[OP01] ROMANCE DAWN,OP01
[ST36] 黄 ユースタス・キッド,ST36
[ST35] 赤黒 サボ,ST35
[ST34] 紫 シャーロット・カタクリ,ST34
[ST33] 青 クザン,ST33
[ST32] 緑 ロロノア・ゾロ,ST32
[ST31] 赤 モンキー・D・ルフィ,ST31
[ST30] ルフィ＆エース,ST30
[ST29] EGGHEAD,ST29
[ST28] 緑黄 ヤマト,ST28
[ST27] 黒 マーシャル・D・ティーチ,ST27
[ST26] 紫黒 モンキー・D・ルフィ,ST26
[ST25] 青 バギー,ST25
[ST24] 緑 ジュエリー・ボニー,ST24
[ST23] 赤 シャンクス,ST23
[ST22] エース＆ニューゲート,ST22
[ST21] ギア5,ST21
[ST20] 黄 シャーロット・カタクリ,ST20
[ST19] 黒 スモーカー,ST19
[ST18] 紫 モンキー・D・ルフィ,ST18
[ST17] 青 ドンキホーテ・ドフラミンゴ,ST17
[ST16] 緑 ウタ,ST16
[ST15] 赤 エドワード・ニューゲート,ST15
[ST14] 3D2Y,ST14
[ST13] 3兄弟の絆,ST13
[ST12] ゾロ＆サンジ,ST12
[ST11] Side ウタ,ST11
[ST10] “三船長”集結,ST10
[ST09] Side ヤマト,ST09
[ST08] Side モンキー・D・ルフィ,ST08
[ST07] ビッグ・マム海賊団,ST07
[ST06] 海軍,ST06
[ST05] ONE PIECE FILM edition,ST05
[ST04] 百獣海賊団,ST04
[ST03] 王下七武海,ST03
[ST02] 最悪の世代,ST02
[ST01] 麦わらの一味,ST01
[EB04] EGGHEAD CRISIS,EB04
[EB03] Heroines Edition,EB03
[EB02] Anime 25th collection,EB02
[EB01] メモリアルコレクション,EB01
[promo-200] [P-101]〜[P-200],promo-200
[promo-100] [P-001]〜[P-100],promo-100
[don] ドン!!カード,don
