Display Name,Card Code
[M6] 拡張パック ストームエメラルダ,M6
[M5] 拡張パック アビスアイ,M5
[M4] 拡張パック ニンジャスピナー,M4
[M3] 拡張パック ムニキスゼロ,M3
[M2a] ハイクラスパック MEGAドリームex,M2a
[M2] 拡張パック インフェルノX,M2
[M1L] 拡張パック メガブレイブ,M1L
[M1S] 拡張パック メガシンフォニア,M1S
[SV11B] 拡張パック ブラックボルト,SV11B
[SV11W] 拡張パック ホワイトフレア,SV11W
[SV10] 拡張パック ロケット団の栄光,SV10
[SV9a] 強化拡張パック 熱風のアリーナ,SV9a
[SV9] 拡張パック バトルパートナーズ,SV9
[SV8a] ハイクラスパック テラスタルフェスex,SV8a
[SV8] 拡張パック 超電ブレイカー,SV8
[SV7a] 強化拡張パック 楽園ドラゴーナ,SV7a
[SV7] 拡張パック ステラミラクル,SV7
[SV6a] 強化拡張パック ナイトワンダラー,SV6a
[SV6] 拡張パック 変幻の仮面,SV6
[SV5a] 強化拡張パック クリムゾンヘイズ,SV5a
[SV5K] 拡張パック ワイルドフォース,SV5K
[SV5M] 拡張パック サイバージャッジ,SV5M
[SV4a] ハイクラスパック シャイニートレジャーex,SV4a
[SV4K] 拡張パック 古代の咆哮,SV4K
[SV4M] 拡張パック 未来の一閃,SV4M
[SV3a] 強化拡張パック レイジングサーフ,SV3a
[SV3] 拡張パック 黒炎の支配者,SV3
[SV2a] 強化拡張パック ポケモンカード151,SV2a
[SV2P] 拡張パック スノーハザード,SV2P
[SV2D] 拡張パック クレイバースト,SV2D
[SV1a] 強化拡張パック トリプレットビート,SV1a
[SV1S] 拡張パック スカーレットex,SV1S
[SV1V] 拡張パック バイオレットex,SV1V
[S12a] ハイクラスパック VSTARユニバース,S12a
[S12] 拡張パック パラダイムトリガー,S12
[S11a] 強化拡張パック 白熱のアルカナ,S11a
[S11] 拡張パック ロストアビス,S11
[S10b] 強化拡張パック Pokémon GO,S10b
[S10a] 強化拡張パック ダークファンタズマ,S10a
[S10D] 拡張パック タイムゲイザー,S10D
[S10P] 拡張パック スペースジャグラー,S10P
[S9a] 強化拡張パック バトルリージョン,S9a
[S9] 拡張パック スターバース,S9
[S8b] ハイクラスパック VMAXクライマックス,S8b
[S8a] 拡張パック 25th ANNIVERSARY COLLECTION,S8a
[S8] 拡張パック フュージョンアーツ,S8
[S7D] 拡張パック 摩天パーフェクト,S7D
[S7R] 拡張パック 蒼空ストリーム,S7R
[S6a] 強化拡張パック イーブイヒーローズ,S6a
[S6H] 拡張パック 白銀のランス,S6H
[S6K] 拡張パック 漆黒のガイスト,S6K
[S5a] 強化拡張パック 双璧のファイター,S5a
[S5I] 拡張パック 一撃マスター,S5I
[S5R] 拡張パック 連撃マスター,S5R
[S4a] ハイクラスパック シャイニースターV,S4a
[S4] 拡張パック 仰天のボルテッカー,S4
[S3a] 強化拡張パック 伝説の鼓動,S3a
[S3] 拡張パック ムゲンゾーン,S3
[S2a] 強化拡張パック 爆炎ウォーカー,S2a
[S2] 拡張パック 反逆クラッシュ,S2
[S1a] 強化拡張パック VMAXライジング,S1a
[S1W] 拡張パック ソード,S1W
[S1H] 拡張パック シールド,S1H
[SM12a] ハイクラスパック TAG TEAM GX タッグオールスターズ,SM12a
[SM12] 拡張パック オルタージェネシス,SM12
[SM11b] 強化拡張パック ドリームリーグ,SM11b
[SM11a] 強化拡張パック リミックスバウト,SM11a
[SM11] 拡張パック ミラクルツイン,SM11
[SMP2] ムービースペシャルパック 名探偵ピカチュウ,SMP2
[SM10b] 強化拡張パック スカイレジェンド,SM10b
[SM10a] 強化拡張パック ジージーエンド,SM10a
[SM10] 拡張パック ダブルブレイズ,SM10
[SM9b] 強化拡張パック フルメタルウォール,SM9b
[SM9a] 強化拡張パック ナイトユニゾン,SM9a
[SM9] 拡張パック タッグボルト,SM9
[SM8b] ハイクラスパック GXウルトラシャイニー,SM8b
[SM8a] 強化拡張パック ダークオーダー,SM8a
[SM8] 拡張パック 超爆インパクト,SM8
[SM7b] 強化拡張パック フェアリーライズ,SM7b
[SM7a] 強化拡張パック 迅雷スパーク,SM7a
[SM7] 拡張パック 裂空のカリスマ,SM7
[SM6b] 強化拡張パック チャンピオンロード,SM6b
[SM6a] 強化拡張パック ドラゴンストーム,SM6a
[SM6] 拡張パック 禁断の光,SM6
[sm05plus] [SM5+] 強化拡張パック ウルトラフォース,sm05plus
[SM5S] 拡張パック ウルトラサン,SM5S
[SM5M] 拡張パック ウルトラムーン,SM5M
[sm04plus] [SM4+] ハイクラスパック GXバトルブースト,sm04plus
[SM4S] 拡張パック 覚醒の勇者,SM4S
[SM4A] 拡張パック 超次元の暴獣,SM4A
[sm03plus] [SM3+] 強化拡張パック ひかる伝説,sm03plus
[SM3H] 拡張パック 闘う虹を見たか,SM3H
[SM3N] 拡張パック 光を喰らう闇,SM3N
[sm02plus] [SM2+] 強化拡張パック 新たなる試練の向こう,sm02plus
[SM2K] 拡張パック キミを待つ島々,SM2K
[SM2L] 拡張パック アローラの月光,SM2L
[sm01plus] [SM1+] 強化拡張パック サン＆ムーン,sm01plus
[SM1S] コレクション サン,SM1S
[SM1M] コレクション ムーン,SM1M
[XY11] 爆熱の闘士,XY11
[XY10] めざめる超王,XY10
[XY9] 破天の怒り,XY9
[XY8] 赤い閃光,XY8
[XY7] バンデットリング,XY7
[XY6] エメラルドブレイク,XY6
[XY5] ガイアボルケーノ,XY5
[XY4] ファントムゲート,XY4
[XY3] ライジングフィスト,XY3
[XY2] ワイルドブレイズ,XY2
[XY1] コレクションX,XY1
[BW9] 拡張パック メガロキャノン,BW9
[BW8] 拡張パック ラセンフォース,BW8
[BW7] 拡張パック プラズマゲイル,BW7
[BW6] 拡張パック フリーズボルト,BW6
