Display Name,Card Code
[re1.0] Reバース,re1.0
[re2.0] Reバース vol.2,re2.0
[retd2.0] バラエティトライアルデッキ「Reバース」,retd2.0
[reex1.0] フェスティバルセット「Reバース」,reex1.0
[reex2.0] スペシャルセット「Reバース」,reex2.0
[reex3.0] スペシャルセット「Reバース vol.2」,reex3.0
[gp1.0] BanG Dream! ガルパ☆ピコ,gp1.0
[gp2.0] BanG Dream! ガルパ☆ピコ〜大盛り〜,gp2.0
[gp3.0] ミニアニメ「元祖！バンドリちゃん」,gp3.0
[gpex1.0] アクリルキーホルダーセット「BanG Dream! ガルパ☆ピコ ～大盛り～ ver.Roselia」,gpex1.0
[gpcb1.0] BanG Dream! ガルパ☆ピコ ふぃーばー！,gpcb1.0
[iq1.0] 異世界かるてっと,iq1.0
[th1.0] 東方Project,th1.0
[th2.0] 東方Project vol.2,th2.0
[thrb1.0] リファインブースター「東方Project」,thrb1.0
[thex1.0] カード&amp;ローダーセット「東方Project」,thex1.0
[gu1.0] ご注文はうさぎですか? BLOOM,gu1.0
[gu2.0] ブースターパックプラス ご注文はうさぎですか? BLOOM vol.2,gu2.0
[guex1.0] カード&amp;ローダーセット「ご注文はうさぎですか？ BLOOM」,guex1.0
[rs1.0] 少女☆歌劇 レヴュースタァライト −Re LIVE−,rs1.0
[hp1.0] ブースターパック「ホロライブプロダクション」,hp1.0
[hp2.0] ブースターパックプラス「ホロライブプロダクション Vol.2」,hp2.0
[hptd] トライアルデッキ「ホロライブプロダクション」,hptd
[hpex1.0] ホロライブプロダクション スペシャルデッキセット,hpex1.0
[al1.0] アズールレーン,al1.0
[al2.0] アズールレーン vol.2,al2.0
[al3.0] アズールレーン vol.3,al3.0
[al4.0] アズールレーン vol.4,al4.0
[dj1.0] ブースターパック「D4DJ」,dj1.0
[dj2.0] ブースターパック「D4DJ feat. D4DJ Groovy Mix+Edition」,dj2.0
[djtd] トライアルデッキ「D4DJ」,djtd
[imc1.0] アイドルマスターシンデレラガールズ劇場,imc1.0
[imc2.0] TVアニメ「アイドルマスター シンデレラガールズ U149」,imc2.0
[ssss1.0] SSSS.GRIDMAN,ssss1.0
[ssss2.0] SSSS.DYNAZENON,ssss2.0
[ssss3.0] ブースターパックプラス「グリッドマン ユニバース」,ssss3.0
[rz1.0] Re:ゼロから始める異世界生活,rz1.0
[rz2.0] Re:ゼロから始める異世界生活 vol.2,rz2.0
[hg1.0] ひぐらしのなく頃に 業,hg1.0
[njpw1.0] ブースターパック「新日本プロレス」,njpw1.0
[njpw2.0] ブースターパック「新日本プロレス Vol.2」,njpw2.0
[njpw3.0] ブースターパック「新日本プロレス＆STARDOM」【NJPW】,njpw3.0
[njpwpb1.0] プレミアムブースター「新日本プロレス＆STARDOM」【NJPW】,njpwpb1.0
[njpwtd] トライアルデッキ「新日本プロレス」,njpwtd
[gz1.0] ゴジラ S.P&lt;シンギュラポイント&gt;,gz1.0
[bkrm1.0] ぼくたちのリメイク,bkrm1.0
[std1.0] ブースターパック「STARDOM」,std1.0
[std2.0] ブースターパック「新日本プロレス＆STARDOM」【STD】,std2.0
[stdpb1.0] プレミアムブースター「新日本プロレス＆STARDOM」【STD】,stdpb1.0
[ks1.0] この素晴らしい世界に祝福を！,ks1.0
[ks2.0] この素晴らしい世界に爆焔を！,ks2.0
[ks3.0] TVアニメ「この素晴らしい世界に祝福を！３」,ks3.0
[ba1.0] ブルーアーカイブ,ba1.0
[ba2.0] ブルーアーカイブ vol.2,ba2.0
[ba3.0] ブルーアーカイブ The Animation,ba3.0
[ba4.0] ブルーアーカイブ vol.3,ba4.0
[va1.0] かぎなど,va1.0
[yc1.0] ゆるキャン△,yc1.0
[hs1.0] 放置少女-百花繚乱の萌姫たち-,hs1.0
[top1.0] アニメ「てっぺんっ!!!!!!!!!!!!!!!」,top1.0
[lr1.0] リコリス・リコイル,lr1.0
[lrex1.0] スペシャルセット「リコリス・リコイル」,lrex1.0
[kj1.0] カイジ,kj1.0
[fg1.0] 「Fate/Grand Carnival」,fg1.0
[kgjt1.0] 陰の実力者になりたくて！,kgjt1.0
[kgjt2.0] 陰の実力者になりたくて！ vol.2,kgjt2.0
[ts1.0] 転生したらスライムだった件 転スラ日記,ts1.0
[imm1.0] アニメ「アイドルマスター ミリオンライブ！」,imm1.0
[sf1.0] TVアニメ「シャングリラ・フロンティア」,sf1.0
[sfex1.0] スペシャルセット TVアニメ『シャングリラ・フロンティア』,sfex1.0
[dk1.0] TVアニメ「君のことが大大大大大好きな100人の彼女」,dk1.0
[dk2.0] TVアニメ『君のことが大大大大大好きな100人の彼女』vol.2,dk2.0
[pon1.0] TVアニメ『ぽんのみち』,pon1.0
[llhs1.0] ラブライブ！蓮ノ空女学院スクールアイドルクラブ,llhs1.0
[llhs2.0] ラブライブ！蓮ノ空女学院スクールアイドルクラブ vol.2,llhs2.0
[llhsex1.0] デラックスセット「ラブライブ！蓮ノ空女学院スクールアイドルクラブ」,llhsex1.0
[bbb1.0] TVアニメ「勇気爆発バーンブレイバーン」,bbb1.0
[ims1.0] アニメ「アイドルマスター シャイニーカラーズ」,ims1.0
[ims2.0] アニメ「アイドルマスター シャイニーカラーズ 2nd season」,ims2.0
[rsdr1.0] TVアニメ『時々ボソッとロシア語でデレる隣のアーリャさん』,rsdr1.0
[sknk1.0] TVアニメ『しかのこのこのここしたんたん』,sknk1.0
[ag1.0] 「あおぎり高校」,ag1.0
[ww1.0] TVアニメ『ウィッチウォッチ』,ww1.0
[ww2.0] TVアニメ『ウィッチウォッチ』 vol.2,ww2.0
[dw1.0] ドルフィンウェーブ,dw1.0
[sg1.0] 戦姫絶唱シンフォギアXD UNLIMITED,sg1.0
[ml1.0] メダリスト,ml1.0
[val1.0] vα-liv,val1.0
