Display Name,Card Code
[BP21] Academy Royale/アカデミー・ロワイヤル,BP21
[BP20] 絶傑を継ぐ者,BP20
[BP19] 天魔八虐,BP19
[BP18] 新約都市・透京,BP18
[BP17] Convergent Destinies/コンヴァージェント・ディスティニー,BP17
[BP16] 新たなる創世,BP16
[BP15] 絶傑の試練,BP15
[BP14] 夢幻の饗宴,BP14
[BP13] 暗黒降誕,BP13
[BP12] 黒鉄の侵略者,BP12
[BP11] 宿命の弾丸,BP11
[BP10] Gods of the Arcana,BP10
[BP09] 光影の二重奏,BP09
[BP08] 次元混沌,BP08
[BP07] 森羅鋼鉄,BP07
[BP06] 絶対なる覇者,BP06
[BP05] 永劫なる絶傑,BP05
[BP04] 天星神話,BP04
[BP03] フレイム・オブ・レーヴァテイン,BP03
[BP02] 黒銀のバハムート,BP02
[BP01] 創世の夜明け,BP01
[CP04] プリンセスコネクト！Re:Dive,CP04
[CP03] カードファイト！！ ヴァンガード,CP03
[CP02] アイドルマスター シンデレラガールズ,CP02
[CP01] ウマ娘 プリティーダービー,CP01
[ECP02] EXコラボパック「アイドルマスター シンデレラガールズ」,ECP02
[ECP01] EXコラボパック「ウマ娘 プリティーダービー」,ECP01
[SP01] シーサイド・メモリーズ,SP01
[PCS01] プレミアムカードセット「プリンセスコネクト！Re:Dive」,PCS01
[EBD04] EXビギナーデッキ「ビショップ」,EBD04
[EBD03] EXビギナーデッキ「ナイトメア」,EBD03
[EBD02] EXビギナーデッキ「ウィッチ」,EBD02
[EBD01] EXビギナーデッキ「エルフ」,EBD01
[DSD01] DXスターターデッキ「学院に咲く双華」「武なる雷鳴」,DSD01
[CSD03] コラボスターターデッキ「聖域の騎士団」「黙示録の炎」,CSD03
[CSD02] コラボスターターデッキ「Cute」「Cool」「Passion」,CSD02
[CSD01] 出走！ウマ娘！,CSD01
[ETD03] 蜜田川イツキ,ETD03
[ETD02] 真壁スバル,ETD02
[ETD01] 天竜ライト,ETD01
[SD08] 燃え尽きぬ炎,SD08
[SD07] 新たなる戦場,SD07
[SD06] 穢れし洗礼,SD06
[SD05] 永久なる定め,SD05
[SD04] 蛇竜の爪牙,SD04
[SD03] 神秘錬成,SD03
[SD02] 怨讐刀鬼,SD02
[SD01] 麗しの妖精姫,SD01
[pr-100] [PR-000]〜[PR-101],pr-100
[pr-200] [PR-102]〜[PR-200],pr-200
[pr-300] [PR-201]〜[PR-300],pr-300
[pr-400] [PR-301]〜[PR-400],pr-400
[pr-500] [PR-401]〜[PR-500],pr-500
[pr-600] [PR-501]〜[PR-600],pr-600
[other] その他プロモーション,other
