Display Name,Card Code
[cgh1] コードギアス 反逆のルルーシュ,cgh1
[cgh2] コードギアス 反逆のルルーシュ Vol.2,cgh2
[jjk1] 呪術廻戦,jjk1
[jjk3] 呪術廻戦 Vol.2,jjk3
[jjk2] NEW CARD SELECTION 呪術廻戦,jjk2
[htr1] HUNTER×HUNTER,htr1
[htr2] HUNTER×HUNTER Vol.2,htr2
[ims1] アイドルマスター シャイニーカラーズ,ims1
[ims2] アイドルマスター シャイニーカラーズ Vol.2,ims2
[ims3] プレシャスブースターパック アイドルマスター シャイニーカラーズ,ims3
[kmy1] 鬼滅の刃,kmy1
[kmy3] 鬼滅の刃 Vol.2,kmy3
[kmy2] NEW CARD SELECTION 鬼滅の刃,kmy2
[toa1] Tales of ARISE,toa1
[tsk1] 転生したらスライムだった件,tsk1
[tsk2] 転生したらスライムだった件 Vol.2,tsk2
[blc1] BLEACH 千年血戦篇,blc1
[blc2] BLEACH 千年血戦篇 Vol.2,blc2
[blc3] NEW CARD SELECTION BLEACH 千年血戦篇,blc3
[btr1] 僕とロボコ,btr1
[mha1] 僕のヒーローアカデミア,mha1
[mha2] 僕のヒーローアカデミア Vol.2,mha2
[gnt1] 銀魂,gnt1
[blk1] ブルーロック,blk1
[blk2] NEW CARD SELECTION ブルーロック -EPISODE 凪-,blk2
[tkn1] 鉄拳7,tkn1
[dst1] Dr.STONE,dst1
[sao1] ソードアート・オンライン,sao1
[sao2] ソードアート・オンライン Vol.2,sao2
[syn1] SYNDUALITY Noir,syn1
[trk1] トリコ,trk1
[nik1] 勝利の女神：NIKKE,nik1
[nik2] プレシャスブースターパック 勝利の女神：NIKKE,nik2
[hiq1] ハイキュー!!,hiq1
[bcv1] ブラッククローバー,bcv1
[yyh1] 幽遊白書,yyh1
[gmr1] GAMERA -Rebirth-,gmr1
[aot1] 進撃の巨人,aot1
[aot2] 進撃の巨人 Vol.2,aot2
[shy1] SHY,shy1
[and1] アンデッドアンラック,and1
[rly1] 君のことが大大大大大好きな100人の彼女,rly1
[gim1] 学園アイドルマスター,gim1
[gim2] 学園アイドルマスター Vol.2,gim2
[kj81] 怪獣8号,kj81
[kmr1] 仮面ライダー,kmr1
[kmr2] 仮面ライダー Vol.2,kmr2
[ark1] アークナイツ,ark1
[ark2] アークナイツ Vol.2,ark2
[mmm1] 魔法少女まどか☆マギカ,mmm1
[snf1] シャングリラ・フロンティア,snf1
[ngr1] 2.5次元の誘惑,ngr1
[cgd1] コードギアス 奪還のロゼ,cgd1
[opm1] ワンパンマン,opm1
[mcr1] 「マクロス」シリーズ,mcr1
[mcr2] 「マクロス」シリーズ Vol.2,mcr2
[fma1] 鋼の錬金術師 FULLMETAL ALCHEMIST,fma1
[wbk1] WIND BREAKER,wbk1
[kin1] 『キン肉マン』完璧超人始祖編,kin1
[rez1] Re:ゼロから始める異世界生活,rez1
[rnk1] るろうに剣心 －明治剣客浪漫譚－,rnk1
[mgs1] 〈物語〉シリーズ,mgs1
[smd1] SAKAMOTO DAYS,smd1
[eva1] ヱヴァンゲリヲン新劇場版,eva1
[tlr1] To LOVEる-とらぶる- Memory of Heroines,tlr1
[kgr1] カグラバチ,kgr1
[tkg1] 「東京喰種トーキョーグール」シリーズ,tkg1
[kgd1] キングダム,kgd1
[mss1] 魔都精兵のスレイブ,mss1
[slg1] 俺だけレベルアップな件,slg1
[kjn1] 陰の実力者になりたくて！,kjn1
[csm1] チェンソーマン,csm1
[iys1] 犬夜叉,iys1
[mst1] 無職転生 －異世界行ったら本気だす－,mst1
[imc1] アイドルマスター シンデレラガールズ,imc1
[ttg1] 天元突破グレンラガン,ttg1
[other] APカード,other
