Display Name,Card Code
[DZBT16] 幻真覚醒,DZBT16
[DZBT15] 虚影襲雷,DZBT15
[DZBT14] 赫月ノ使者,DZBT14
[DZBT13] 幻真星戦,DZBT13
[DZBT12] 冥淵葬空,DZBT12
[DZLBT02] リリカルモナステリオ あわてんぼうのクリスマス,DZLBT02
[DZBT11] 武奏烈華,DZBT11
[DZBT10] 竜魂鳴導,DZBT10
[DZBT09] 超勇爆裂,DZBT09
[DZBT08] 零騎転生,DZBT08
[DZBT07] 月牙蒼焔,DZBT07
[DZBT06] 時空創竜,DZBT06
[DZBT05] 天智覚命,DZBT05
[DZBT04] 宿命決戦,DZBT04
[DZLBT01] リリカルモナステリオ ほしがきらきらっ！,DZLBT01
[DZBT03] 次元超躍,DZBT03
[DZBT02] 無幻双刻,DZBT02
[DZBT01] 運命大戦,DZBT01
[DLBT04] リリカルモナステリオ ～いたずらしちゃうぞっ～,DLBT04
[DBT13] 天輪飛翔,DBT13
[DBT12] 夜天凶襲,DBT12
[DBT11] 英雄激突,DBT11
[DBT10] 仮面竜奏,DBT10
[DBT09] 龍樹侵攻,DBT09
[DBT08] 女神再臨,DBT08
[DBT07] 烈火翠嵐,DBT07
[DLBT03] リリカルモナステリオ ～なつのおもいでっ！～,DLBT03
[DBT06] 鳳竜焔舞,DBT06
[DBT05] 群雄凱旋,DBT05
[DLBT02] リリカルモナステリオ ～新学期はじまるよ！～,DLBT02
[DBT04] 覚醒する天輪,DBT04
[DBT03] 共進する双星,DBT03
[DLBT01] Lyrical Melody,DLBT01
[DBT02] 伝説との邂逅,DBT02
[DBT01] 五大世紀の黎明,DBT01
[VBT12] 天輝神雷,VBT12
[VBT11] 蒼騎天嵐,VBT11
[VBT10] 虚幻竜刻,VBT10
[VBT09] 蝶魔月影,VBT09
[VBT08] 銀華竜炎,VBT08
[VBT07] 神羅創星,VBT07
[VBT06] 幻馬再臨,VBT06
[VBT05] 天馬解放,VBT05
[VBT04] 最凶！根絶者,VBT04
[VBT03] 宮地学園CF部,VBT03
[VBT02] 最強！チームAL4,VBT02
[VBT01] 結成！チームQ4,VBT01
[GBT14] 竜神烈伝,GBT14
[GBT13] 究極超越,GBT13
[GBT12] 竜皇覚醒,GBT12
[GBT11] 鬼神降臨,GBT11
[GBT10] 剣牙激闘,GBT10
[GBT09] 天舞竜神,GBT09
[GBT08] 超極審判,GBT08
[GBT07] 勇輝剣爛,GBT07
[GBT06] 刃華超克,GBT06
[GBT05] 月煌竜牙,GBT05
[GBT04] 討神魂撃,GBT04
[GBT03] 覇道竜星,GBT03
[GBT02] 風華天翔,GBT02
[GBT01] 時空超越,GBT01
[MBT01] ネオンメサイア,MBT01
[BT17] 煉獄焔舞,BT17
[BT16] 竜剣双闘,BT16
[BT15] 無限転生,BT15
[BT14] 光輝迅雷,BT14
[BT13] 絶禍繚乱,BT13
[BT12] 黒輪縛鎖,BT12
[BT11] 封竜解放,BT11
[BT10] 騎士王凱旋,BT10
[BT09] 竜騎激突,BT09
[BT08] 蒼嵐艦隊,BT08
[BT07] 獣王爆進,BT07
[BT06] 極限突破,BT06
