Display Name,Card Code
[wx26p1] [WX26-P1] Lostorage SELECTOR,wx26p1
[wx26cp1] [WX26-CP1] プリンセッション・オーケストラ SELECTOR,wx26cp1
[wx25p3] [WX25-P3] LUMINOUS SELECTOR,wx25p3
[wx25p2] [WX25-P2] RESONANCE SELECTOR,wx25p2
[wx25p1] [WX25-P1] PRIMAL SELECTOR,wx25p1
[wx25cp1] [WX25-CP1] ブルーアーカイブ SELECTOR,wx25cp1
[wx24p4] [WX24-P4] FORTH SELECTOR,wx24p4
[wx24p3] [WX24-P3] REVERSAL SELECTOR,wx24p3
[wx24p2] [WX24-P2] loth SELECTOR,wx24p2
[wx24p1] [WX24-P1] RECOLLECT SELECTOR,wx24p1
[wxdi16] [WXDI-16] LEGENDARY DIVA,wxdi16
[wxdi15] [WXDI-15] DIVISIONS DIVA,wxdi15
[wxdicp02] [WXDICP-02] ブルーアーカイブ DIVA,wxdicp02
[wxdi14] [WXDI-14] フェゾーネ DIVA with 電音部,wxdi14
[wxdi13] [WXDI-13] CONCORD DIVA,wxdi13
[wxdi12] [WXDI-12] DISSONANCE DIVA,wxdi12
[wxdicp01] [WXDICP-01] にじさんじ DIVA,wxdicp01
[wxdi11] [WXDI-11] REUNION DIVA,wxdi11
[wxdi10] [WXDI-10] PRISMATIC DIVA,wxdi10
[wxdi09] [WXDI-09] CONFLATED DIVA,wxdi09
[wxdi08] [WXDI-08] SPREAD DIVA,wxdi08
[wxdi07] [WXDI-07] WELCOME BACK DIVA〜Lostorage〜,wxdi07
[wxdi06] [WXDI-06] WELCOME BACK DIVA〜selector〜,wxdi06
[wxdi05] [WXDI-05] CURIOSITY DIVA,wxdi05
[wxdi04] [WXDI-04] VERTEX DIVA,wxdi04
[wxdi03] [WXDI-03] STANDUP DIVA,wxdi03
[wxdi02] [WXDI-02] CHANGING DIVA,wxdi02
[wxdi01] [WXDI-01] GLOWING DIVA,wxdi01
[wxdi00] [WXDI-00] INTERLUDE DIVA,wxdi00
[wxk11] [WXK-11] リンカーネイション,wxk11
[wxk10] [WXK-10] コリジョン,wxk10
[wxk09] [WXK-09] ディセンブル,wxk09
[wxk08] [WXK-08] アンリアリスティック,wxk08
[wxk07] [WXK-07] エクスプロード,wxk07
[wxk06] [WXK-06] オルタナティブ,wxk06
[wxk05] [WXK-05] レトリック,wxk05
[wxk04] [WXK-04] ワイルズ,wxk04
[wxk03] [WXK-03] ユートピア,wxk03
[wxk02] [WXK-02] フルスクラッチ,wxk02
[wxk01] [WXK-01] クラクション,wxk01
[WXEX02] アンブレイカブルセレクター,WXEX02
[WXEX01] アンリミテッドセレクター,WXEX01
[wx22] [WX-22] アンロックドセレクター,wx22
[wx21] [WX-21] ビトレイドセレクター,wx21
[wx20] [WX-20] コネクテッドセレクター,wx20
[wx19] [WX-19] アンソルブドセレクター,wx19
[wx18] [WX-18] コンフレーテッドセレクター,wx18
[wx17] [WX-17] エクスポーズドセレクター,wx17
[wx16] [WX-16] ディサイデッドセレクター,wx16
[wx15] [WX-15] インサイテッドセレクター,wx15
[wx14] [WX-14] サクシードセレクター,wx14
[wx13] [WX-13] アンフェインドセレクター,wx13
[wx12] [WX-12] リプライドセレクター,wx12
[wx11] [WX-11] ディストラクテッドセレクター,wx11
[wx10] [WX-10] チェインドセレクター,wx10
[wx09] [WX-09] リアクテッドセレクター,wx09
[wx08] [WX-08] インキュベイトセレクター,wx08
[wx07] [WX-07] ネクストセレクター,wx07
[wx06] [WX-06] フォーチュンセレクター,wx06
[wx05] [WX-05] ビギニングセレクター,wx05
[wx04] [WX-04] インフェクテッドセレクター,wx04
[wx03] [WX-03] スプレッドセレクター,wx03
[wx02] [WX-02] ステアードセレクター,wx02
[wx01] [WX-01] サーブドセレクター,wx01
[wx25cd1] [WX25-CD1] ブルーアーカイブ,wx25cd1
[wx24d5] [WX24-D5] BLACK ALT DESIRE,wx24d5
[wx24d4] [WX24-D4] GREEN ALT WANNA,wx24d4
[wx24d3] [WX24-D3] BLUE ALT APPLI,wx24d3
[wx24d2] [WX24-D2] RED ALT AMBITION,wx24d2
[wx24d1] [WX24-D1] WHITE ALT HOPE,wx24d1
[wdi09] [WDI-09] SUPER DIVA DECK DOUBLE HEROINES -ピルルク＆ヒラナ-,wdi09
[wdi08] [WDI-08] DIVA DEBUT DECK WHITE HOPE,wdi08
[wdi07] [WDI-07] TOP DIVA DECK D・X・M,wdi07
[wdi06] [WDI-06] DIVA DEBUT DECK DIAGRAM,wdi06
[wdi05] [WDI-05] DIVA DEBUT DECK うちゅうのはじまり,wdi05
[wdi04] [WDI-04] DIVA DEBUT DECK Card Jockey,wdi04
[wdi03] [WDI-03] DIVA DEBUT DECK No Limit,wdi03
[wdi02] [WDI-02] DIVA DEBUT DECK にじさんじ ver.さんばか,wdi02
[wdi01] [WDI-01] ANCIENT SURPRISE,wdi01
[wdk17] [WDK-17] ブラックアルフォウ,wdk17
[wdk16] [WDK-16] にじさんじウィクロスバトルセット,wdk16
[wdk15] [WDK-15] ブラックナナシ,wdk15
[wdk14] [WDK-14] レッドタウィル,wdk14
[wdk13] [WDK-13] ブラックミュウ,wdk13
[wdk12] [WDK-12] グリーンメル,wdk12
[wdk11] [WDK-11] ホワイトエマ,wdk11
[wdk10] [WDK-10] ブラックウリス,wdk10
[wdk09] [WDK-09] ブルーウムル,wdk09
[wdk08] [WDK-08] デュアルブラスト,wdk08
[wdk07] [WDK-07] デュアルプラント,wdk07
[wdk06] [WDK-06] デュアルブラッド,wdk06
[wdk05] [WDK-05] デュアルペイルネス,wdk05
[wdk04] [WDK-04] ブラックダイレクト,wdk04
[wdk03] [WDK-03] グリーンテンタクル,wdk03
[wdk02] [WDK-02] ブルーカタルシス,wdk02
[wdk01] [WDK-01] レッドドーピング,wdk01
[wdkf05] [WXK-DF05] カーニバルではじめるウィクロスは墓地活用で勝つ!,wdkf05
[wdkf04] [WXK-DF04] リルではじめるウィクロスは進化して勝つ!,wdkf04
[wdkf03] [WXK-DF03] タマではじめるウィクロスは手札に戻して勝つ!,wdkf03
[wdkf02] [WXK-DF02] グズ子ではじめるウィクロスは山札操作で勝つ！,wdkf02
[wdkf01] [WXK-DF01] ピルルクではじめるウィクロスは手札破壊で勝つ!,wdkf01
[wxd23] [WXD-23] ブルーコンフレーション,wxd23
[wxd22] [WXD-22] ブラックコンフレーション,wxd22
