Display Name,Card Code
[BETB] BEYOND THE BRAVE,BETB
[CORI] CHAOS ORIGINS,CORI
[BLZD] BLAZING DOMINION,BLZD
[BPRO] BURST PROTOCOL,BPRO
[DOOD] DOOM OF DIMENSIONS,DOOD
[DUAD] DUELIST ADVANCE,DUAD
[ALIN] ALLIANCE INSIGHT,ALIN
[SUDA] SUPREME DARKNESS,SUDA
[ROTA] RAGE OF THE ABYSS,ROTA
[INFO] INFINITE FORBIDDEN,INFO
[LEDE] LEGACY OF DESTRUCTION,LEDE
[PHNI] PHANTOM NIGHTMARE,PHNI
[AGOV] AGE OF OVERLORD,AGOV
[DUNE] DUELIST NEXUS,DUNE
[CYAC] CYBERSTORM ACCESS,CYAC
[PHHY] PHOTON HYPERNOVA,PHHY
[DABL] DARKWING BLAST,DABL
[POTE] POWER OF THE ELEMENTS,POTE
[DIFO] DIMENSION FORCE,DIFO
[BACH] BATTLE OF CHAOS,BACH
[BODE] BURST OF DESTINY,BODE
[DAMA] DAWN OF MAJESTY,DAMA
[LIOV] LIGHTNING OVERDRIVE,LIOV
[BLVO] BLAZING VORTEX,BLVO
[PHRA] PHANTOM RAGE,PHRA
[ROTD] RISE OF THE DUELIST,ROTD
[ETCO] ETERNITY CODE,ETCO
[IGAS] IGNITION ASSAULT,IGAS
[CHIM] CHAOS IMPACT,CHIM
[RIRA] RISING RAMPAGE,RIRA
[DANE] DARK NEOSTORM,DANE
[SAST] SAVAGE STRIKE,SAST
[SOFU] SOUL FUSION,SOFU
[CYHO] CYBERNETIC HORIZON,CYHO
[FLOD] FLAMES OF DESTRUCTION,FLOD
[EXFO] EXTREME FORCE,EXFO
[CIBR] CIRCUIT BREAK,CIBR
[COTD] CODE OF THE DUELIST,COTD
[MACR] マキシマム・クライシス,MACR
[RATE] レイジング・テンペスト,RATE
[INOV] インベイジョン・オブ・ヴェノム,INOV
[TDIL] ザ・ダーク・イリュージョン,TDIL
[SHVI] シャイニング・ビクトリーズ,SHVI
[BOSH] ブレイカーズ・オブ・シャドウ,BOSH
[DOCS] ディメンション・オブ・カオス,DOCS
[CORE] クラッシュ・オブ・リベリオン,CORE
[CROS] クロスオーバー・ソウルズ,CROS
[SECE] ザ・シークレット・オブ・エボリューション,SECE
[NECH] ネクスト・チャレンジャーズ,NECH
[DUEA] ザ・デュエリスト・アドベント,DUEA
[PRIO] PRIMAL ORIGIN,PRIO
[LVAL] LEGACY OF THE VALIANT,LVAL
[SHSP] SHADOW SPECTERS,SHSP
[JOTL] JUDGMENT OF THE LIGHT,JOTL
[LTGY] LORD OF THE TACHYON GALAXY,LTGY
[CBLZ] COSMO BLAZER,CBLZ
[ABYR] ABYSS RISING,ABYR
[REDU] RETURN OF THE DUELIST,REDU
[GAOV] GALACTIC OVERLORD,GAOV
[ORCS] ORDER OF CHAOS,ORCS
[PHSW] PHOTON SHOCKWAVE,PHSW
[GENF] GENERATION FORCE,GENF
[EXVC] EXTREME VICTORY,EXVC
[STOR] STORM OF RAGNAROK,STOR
[STBL] STARSTRIKE BLAST,STBL
[DREV] DUELIST REVOLUTION,DREV
[TSHD] THE SHINING DARKNESS,TSHD
[ABPF] ABSOLUTE POWERFORCE,ABPF
[SOVR] STARDUST OVERDRIVE,SOVR
[ANPR] ANCIENT PROPHECY,ANPR
[RGBT] RAGING BATTLE,RGBT
[CRMS] CRIMSON CRISIS,CRMS
[CSOC] CROSSROADS OF CHAOS,CSOC
[TDGS] THE DUELIST GENESIS,TDGS
[LODT] LIGHT OF DESTRUCTION,LODT
[PTDN] PHANTOM DARKNESS,PTDN
[GLAS] GLADIATOR’S ASSAULT,GLAS
[TAEV] TACTICAL EVOLUTION,TAEV
[FOTB] FORCE OF THE BREAKER,FOTB
[STON] STRIKE OF NEOS,STON
[CDIP] CYBERDARK IMPACT,CDIP
[POTD] POWER OF THE DUELIST,POTD
[EOJ] ENEMY OF JUSTICE,EOJ
[SOI] SHADOW OF INFINITY,SOI
[EEN] ELEMENTAL ENERGY,EEN
[CRV] CYBERNETIC REVOLUTION,CRV
[TLM] THE LOST MILLENNIUM,TLM
[FET] FLAMING ETERNITY,FET
[RDS] RISE OF DESTINY,RDS
[SOD] SOUL OF THE DUELIST,SOD
[309] ファラオの遺産,309
[308] 天空の聖域,308
[307] 暗黒の侵略者,307
[306] 混沌を制す者,306
[305] 闇魔界の脅威,305
[304] ガーディアンの力,304
[303] 黒魔導の覇者,303
[302] ユニオンの降臨,302
[301] 新たなる支配者,301
[UT01] UTILITY SELECTION,UT01
[LOCR] LIMIT OVER COLLECTION -THE RIVALS-,LOCR
[LOCH] LIMIT OVER COLLECTION -THE HEROES-,LOCH
[QCAC] QUARTER CENTURY ART COLLECTION,QCAC
[QCCP] QUARTER CENTURY CHRONICLE side:PRIDE,QCCP
[QCCU] QUARTER CENTURY CHRONICLE side:UNITY,QCCU
[TW03] TERMINAL WORLD 3,TW03
[TW02] TERMINAL WORLD 2,TW02
[TW01] TERMINAL WORLD,TW01
[SLF1] SELECTION 5,SLF1
[AC04] ANIMATION CHRONICLE 2024,AC04
[AC03] ANIMATION CHRONICLE 2023,AC03
[AC02] ANIMATION CHRONICLE 2022,AC02
[AC01] ANIMATION CHRONICLE 2021,AC01
[HC01] HISTORY ARCHIVE COLLECTION,HC01
[PAC1] PRISMATIC ART COLLECTION,PAC1
[RC04] RARITY COLLECTION -QUARTER CENTURY EDITION-,RC04
[RC03] RARITY COLLECTION -PREMIUM GOLD EDITION-,RC03
[RC02] RARITY COLLECTION -20th ANNIVERSARY EDITION-,RC02
[TRC1] THE RARITY COLLECTION,TRC1
[RV01] REVOLUTION BOOSTER -トゥーン・ウィッチクラフト・破械-,RV01
[TTP1] TACTICAL-TRY PACK -黒魔導・HERO・御巫-,TTP1
[SPFE] ブースターSP -フュージョン・エンフォーサーズ-,SPFE
[SPDS] ブースターSP -デステニー・ソルジャーズ-,SPDS
[SPWR] ブースターSP -ウィング・レイダーズ-,SPWR
[SPHR] ブースターSP -ハイスピード・ライダーズ-,SPHR
[SPTR] ブースターSP -トライブ・フォース-,SPTR
[SPRG] ブースターSP -レイジング・マスターズ-,SPRG
[DBPR] デッキビルドパック ファントム・リベンジャーズ,DBPR
[DBJH] デッキビルドパック ジャスティス・ハンターズ,DBJH
[DBCB] デッキビルドパック クロスオーバー・ブレイカーズ,DBCB
[DBVS] デッキビルドパック ヴァリアント・スマッシャーズ,DBVS
[DBWS] デッキビルドパック ワイルド・サバイバーズ,DBWS
[DBAD] デッキビルドパック アメイジング・ディフェンダーズ,DBAD
[DBTM] デッキビルドパック タクティカル・マスターズ,DBTM
[DBGC] デッキビルドパック グランド・クリエイターズ,DBGC
[DBAG] デッキビルドパック エンシェント・ガーディアンズ,DBAG
[DBGI] デッキビルドパック ジェネシス・インパクターズ,DBGI
[DBSS] デッキビルドパック シークレット・スレイヤーズ,DBSS
[DBMF] デッキビルドパック ミスティック・ファイターズ,DBMF
[DBIC] デッキビルドパック インフィニティ・チェイサーズ,DBIC
[DBHS] デッキビルドパック ヒドゥン・サモナーズ,DBHS
[DBDS] デッキビルドパック ダーク・セイヴァーズ,DBDS
[DBSW] デッキビルドパック スピリット・ウォリアーズ,DBSW
[DC01] デッキカスタムパック 01,DC01
[15AX] 決闘者の栄光 -記憶の断片- side：闇遊戯,15AX
[15AY] 決闘王の記憶 -闘いの儀編-,15AY
[CP20] COLLECTION PACK2020,CP20
[CP19] COLLECTION PACK -革命の決闘者編-,CP19
[CP18] COLLECTORS PACK 2018,CP18
[CP17] COLLECTORS PACK 2017,CP17
[CPF1] コレクターズパック - 閃光の決闘者編 -,CPF1
[CPD1] コレクターズパック - 運命の決闘者編 -,CPD1
[CPL1] コレクターズパック - 伝説の決闘者編 -,CPL1
[CPZ1] コレクターズパック -ZEXAL編-,CPZ1
[DE04] DUELIST EDITION Volume 4,DE04
[DE03] DUELIST EDITION Volume 3,DE03
[DE02] DUELIST EDITION Volume 2,DE02
[DE01] DUELIST EDITION Volume 1,DE01
[BE02] BEGINNER’S EDITION 2 [2011],BE02
[BE01] BEGINNER’S EDITION 1 [2011],BE01
[BE2] BEGINNER’S EDITION 2,BE2
[BE1] BEGINNER’S EDITION 1,BE1
[EE04] EXPERT EDITION Volume 4,EE04
