Display Name,Card Code
[KP26] 君臨のヘッドライナー,KP26
[KP25] 極光のライジング,KP25
[KP24] 深淵のオーバーフォース,KP24
[KP23] 新星のギアスチャージ,KP23
[KP22] 戦慄のアウターバース,KP22
[KP21] 進撃のアクセルロード,KP21
[KP20] 悠久のギャラクティカ,KP20
[KP19] 灼熱のサラマンデウス,KP19
[KP18] 幻影のダークマター,KP18
[KP17] 覚醒のバーストレックス,KP17
[KP16] 超越のトランザム,KP16
[KP15] 闇黒のレッドリブート,KP15
[KP14] 轟炎のフェニックス,KP14
[KP13] 閃光のオブリビオン,KP13
[KP12] デッキ改造パック 強襲のダブルスター!!,KP12
[KP11] デッキ改造パック 旋風のフォルテシモ!!,KP11
[KP10] デッキ改造パック 破滅のレクイエム!!,KP10
[KP09] デッキ改造パック 運命のギャラクシー!!,KP09
[KP08] デッキ改造パック 創造のマスターロード!!,KP08
[KP07] デッキ改造パック 混沌のオメガライジング!!,KP07
[KP06] デッキ改造パック 激闘のサンダーストーム!!,KP06
[KP05] デッキ改造パック 躍動のエターナルライブ‼,KP05
[KP04] デッキ改造パック 宿命のパワーデストラクション!!,KP04
[KP03] デッキ改造パック 幻撃のミラージュインパクト!!,KP03
[KP02] デッキ改造パック 驚愕のライトニングアタック!!,KP02
[KP01] デッキ改造パック 超速のラッシュロード!!,KP01
[AP03] アドバンスパックユニオン・ベース,AP03
[ORP4] オーバーラッシュパック4,ORP4
[AP02] アドバンスパックリベンジ・ハーツ,AP02
[ORP3] オーバーラッシュパック3,ORP3
[AP01] アドバンスパック デビルズ・セレモニー,AP01
[5TH1] 5th ANNIVERSARY PACK,5TH1
[TB02] トリプルビルドパック エボリューション・インパクト,TB02
[LGP2] 真・レジェンド覚醒パック,LGP2
[ORP2] オーバーラッシュパック2,ORP2
[HC01] ハイグレードコレクション,HC01
[MRP2] メガロードパック2,MRP2
[TB01] トリプルビルドパック ゴッドブレス・ウィング,TB01
[VSP1] VSパック マキシマム・フォース,VSP1
[LGP1] レジェンド覚醒パック,LGP1
[ORP1] オーバーラッシュパック,ORP1
[MRP1] メガロードパック,MRP1
[GRP1] ゴールドラッシュパック,GRP1
[EXT1] エクストラ超越強化パック,EXT1
[MAX2] マキシマム超絶進化パック,MAX2
[MAX1] マキシマム超絶強化パック,MAX1
[CP01] キャラクターパック -ガクト・ロア・ロミン-,CP01
[SD0F] ストラクチャーデッキ 帝王の凱旋,SD0F
[SD0E] ストラクチャーデッキ 黒魔術の儀式,SD0E
[SD0D] ストラクチャーデッキ ハーピィ・レディ・シスターズ,SD0D
[SD0C] ストラクチャーデッキ キメラテック・サイバー,SD0C
[SD0B] ストラクチャーデッキ バース・オブ・ヒーロー,SD0B
[SD0A] ストラクチャーデッキ 究極の青眼伝説,SD0A
[SD01] 最強バトルデッキ ユウディアス －輝きのベルギャリーヴァ－,SD01
[SD02] 最強バトルデッキ 遊飛 －ジョインと爆熱! ジョインと激烈!－,SD02
[SD03] 最強バトルデッキ 遊歩 －おいでヨ! ハイテクドラゴン!－,SD03
[SD04] 最強バトルデッキ マナブ －炎のケミストニャードロー!－,SD04
[SD05] 最強バトルデッキ ズウィージョウ －虚空のヴォイドヴェルグ－,SD05
[rdsd01-b] [SD01-JPB] 最強バトルデッキ2022 プラスワンボーナスカード,rdsd01-b
[GRD1] ゴーラッシュデッキ ギャラクティカ・アライブ,GRD1
[GRD2] ゴーラッシュデッキ ジョインテック・アタック,GRD2
[GRD0] ゴーラッシュデッキ ボーナスカード,GRD0
[SST1] 最強ジャンプ 2022年 5月号 付録 最強スターターデッキ,SST1
[SBD1] 最強バトルデッキ 遊我 －ハイパーマシンロード－,SBD1
[SBD2] 最強バトルデッキ ルーク －ドラゴンズ・ドラゴンズ－,SBD2
[SBD3] 最強バトルデッキ ガクト －魔将参陣－,SBD3
[SBD4] 最強バトルデッキ ロミン －サイキックビート－,SBD4
[SBD5] 最強バトルデッキ ロア －デモンズロック－,SBD5
[SBD6] 最強バトルデッキ ネイル －マキシマムヘイブン－,SBD6
[SBD7] 最強バトルデッキ アサナ －重騎道の誇り－,SBD7
[SBD0] 最強バトルデッキ プラスワンボーナスカード,SBD0
[ST01] スターターデッキ 遊我 －切り開け! セブンスロード!!－,ST01
[ST02] スターターデッキ ルーク －爆裂覇道! ドラギアス!!－,ST02
[VS01] スターターデッキセット －遊我VSルーク－,VS01
[VP02] ビクトリーパック -極大の連撃竜-,VP02
[VP01] ビクトリーパック -伝説の真紅眼の黒竜-,VP01
[rdpra] 商品同梱カード,rdpra
[rdprb] 書籍付属カード,rdprb
[rdprc] 大会関連カード,rdprc
[rdprd] その他プロモーションカード,rdprd
