Display Name,Card Code
[ntp1.0] ニトロプラス1.00,ntp1.0
[ntp2.0] ニトロプラス2.00,ntp2.0
[sc1.0] STEINS；GATE&amp;CHAOS；HEAD,sc1.0
[scext] シュタインズゲート Extra,scext
[scext2.0] STEINS；GATE 線形拘束のフェノグラム＆比翼恋理のだ〜りん Extra,scext2.0
[scext3.0] 劇場版 STEINS；GATE 負荷領域のデジャヴ Extra,scext3.0
[smext] 装甲悪鬼村正 Extra,smext
[sa1.0] STEINS；GATE 0 &amp; CHAOS; CHILD 1.00,sa1.0
[acp1.0] アクアプラス1.00,acp1.0
[th2dt] ダンジョントラベラーズ Extra,th2dt
[vapext] V.I.P. アクアプラス Extra,vapext
[ttt1.0] ティアーズ・トゥ・ティアラ Extra,ttt1.0
[acpazzaext] AQUAPAZZA Extra,acpazzaext
[waext1.0] WHITE ALBUM2 Extra,waext1.0
[km1.0] 真・恋姫†無双,km1.0
[km2.0] 真・恋姫†無双 2.00,km2.0
[kmm1.0] 真・恋姫†無双 萌将伝 1.00,kmm1.0
[kme1.0] 恋姫†英雄譚 1.00,kme1.0
[kmext] 真・恋姫†無双 Extra,kmext
[kmspext] 真・恋姫†無双 スペシャルパック Extra,kmspext
[tenka1.0] あっぱれ！天下御免 1.00,tenka1.0
[kmo] 戦国†恋姫〜乙女絢爛☆戦国絵巻〜,kmo
[sw1.0] ストライクウィッチーズ1.00,sw1.0
[sw2.0] ストライクウィッチーズ2 1.00,sw2.0
[swm] ストライクウィッチーズ 劇場版,swm
[swova1.0] ストライクウィッチーズ Operation Victory Arrow 1.00,swova1.0
[qb1.0] クイーンズブレイド 1.00,qb1.0
[qbrext] クイーンズブレイド リベリオン,qbrext
[august1.0] オーガスト 1.00,august1.0
[august2.0] オーガスト 2.00,august2.0
[august3.0] オーガスト 3.00,august3.0
[august4.0] 千の刃濤、桃花染の皇姫 1.00,august4.0
[augustext1.0] オーガスト Extra,augustext1.0
[augustext2.0] 大図書館の羊飼い -Dreaming Sheep- Extra,augustext2.0
[navel1.0] Navel 1.00,navel1.0
[navel2.0] Navel 2.00,navel2.0
[tsuriotsu1.0] 月に寄りそう乙女の作法＆乙女理論とその周辺,tsuriotsu1.0
[navelext1.0] ネーブル Extra,navelext1.0
[tsuriotsuext] 月に寄りそう乙女の作法2 Extra,tsuriotsuext
[it1.0] 一騎当千 1.00,it1.0
[baka1.0] バカとテストと召喚獣 1.00,baka1.0
[bakabt2.0] バカとテストと召喚獣にっ,bakabt2.0
[baka2.0] バカとテストと召喚獣にっ Extra,baka2.0
[si1.0] 生徒会の一存 1.00,si1.0
[va1.0] ビジュアルアーツ1.00,va1.0
[hatsukoi1.0] 初恋1/1,hatsukoi1.0
[animelb] アニメ リトルバスターズ,animelb
[lbr] リトルバスターズ！〜Refrain〜,lbr
[age1.0] アージュ1.00,age1.0
[ageext1.0] アージュ Extra,ageext1.0
[te1.0] トータル・イクリプス,te1.0
[mlte1.0] マブラヴ オルタネイティヴ トータル・イクリプス 1.00,mlte1.0
