Display Name,Card Code
[dc] D.C./D.C.II,dc
[dcext1.0] D.C./D.C.II Extra,dcext1.0
[dcext2.0] D.C.II P.C. Extra,dcext2.0
[dcchronicle] ヴァイスシュヴァルツクロニクル D.C./D.C.II,dcchronicle
[dcpc] D.C./D.C.II プラスコミュニケーション,dcpc
[dcext3.0] D.C./D.C.II プラスコミュニケーション Extra,dcext3.0
[dc3] D.C.III,dc3
[animedcext1.0] アニメ「D.C.III〜ダ・カーポIII〜」 Extra,animedcext1.0
[dc10th] D.C. 10thアニバーサリーミックス,dc10th
[dcsakuraext] D.C. サクラサクパック Extra,dcsakuraext
[dsdc] 「D.S. -Dal Segno-」＆「D.C.III With You 〜ダ・カーポIII〜 ウィズユー」,dsdc
[dcvslbdc] ダ・カーポ vs リトルバスターズ!【DC】 Extra,dcvslbdc
[dc20th] サーカス 20th Anniversary,dc20th
[dc3stageext] ポートレートブースター 舞台「D.C.III ～ダ・カーポIII～君と旅する時の魔法」,dc3stageext
[dc20thext] D.C. ～ダ・カーポ～ 20th Anniversary,dc20thext
[dcretune] D.C. Re:tune ～ダ・カーポ～ リチューン,dcretune
[lb] リトルバスターズ!,lb
[lbext1.0] リトルバスターズ!エクスタシー Extra,lbext1.0
[lbchronicle] ヴァイスシュヴァルツクロニクル リトルバスターズ！,lbchronicle
[lbe] リトルバスターズ!エクスタシー,lbe
[animelb] アニメ リトルバスターズ!,animelb
[animelbrext] アニメ リトルバスターズ! Refrain Extra,animelbrext
[lbcmext] リトルバスターズ！ カードミッション Extra,lbcmext
[dcvslblb] ダ・カーポ vs リトルバスターズ!【LB】 Extra,dcvslblb
[ab] AngelBeats!&amp;クドわふたー,ab
[abre] Angel Beats! Re: Edit,abre
[abext] AngelBeats! vol1 Extra,abext
[abext2.0] AngelBeats! vol2 Extra,abext2.0
[zm] ゼロの使い魔,zm
[zmf] ゼロの使い魔F,zmf
[zmfext] ゼロの使い魔F Extra,zmfext
[ns] リリカルなのはStrikerS,ns
[nsm] リリカルなのは The MOVIE 1st Extra,nsm
[nsa] リリカルなのは A’s,nsa
[nsm2] リリカルなのは The MOVIE 2nd A’s,nsm2
[nsm1m2] リリカルなのは The MOVIE 1st＆2nd A’s,nsm1m2
[nsr] 魔法少女リリカルなのは Reflection,nsr
[nsd] 魔法少女リリカルなのは Detonation,nsd
[nspb] プレミアムブースター 魔法少女リリカルなのは 20th Anniversary,nspb
[vvs] ViVid Strike!,vvs
[ls] らき☆すた,ls
[skext1.0] 宇宙をかける少女 Vol.1 Extra,skext1.0
[mhext1.0] 舞-HiME＆舞-乙HiME Vol1 Extra,mhext1.0
[skext2.0] 宇宙をかける少女 Vol.2 Extra,skext2.0
[mhext2.0] 舞-HiME＆舞-乙HiME Vol2 Extra,mhext2.0
[pr] Phantom,pr
[sh] 涼宮ハルヒの憂鬱,sh
[shext] 涼宮ハルヒの憂鬱 Extra,shext
[shpset] パワーアップセット 涼宮ハルヒの憂鬱,shpset
[ir] 禁書目録＆超電磁砲,ir
[ir2.0] 禁書目録II＆超電磁砲,ir2.0
[irs] とある科学の超電磁砲S,irs
[irspset] パワーアップセット とある科学の超電磁砲S,irspset
[ss] 灼眼のシャナ,ss
[ssext] 灼眼のシャナ Extra,ssext
[sspb] プレミアムブースター 灼眼のシャナ,sspb
[clext1.0] CLANNAD Vol1 Extra,clext1.0
[clext2.0] CLANNAD Vol2 Extra,clext2.0
[clext3.0] CLANNAD Vol3 Extra,clext3.0
[clpset] パワーアップセット CLANNAD,clpset
[rw] Rewrite,rw
[rwhf] Rewrite Harvest festa!,rwhf
[rwanime] TVアニメ「Rewrite」,rwanime
[njext] 日常,njext
[ddext1.0] DOG DAYS Extra,ddext1.0
[ddext2.0] DOG DAYS’Extra,ddext2.0
[ddext3.0] DOG DAYS”Extra,ddext3.0
[magica] 魔法少女まどかマギカ,magica
[magicamv] 劇場版 魔法少女まどか☆マギカ[新編]叛逆の物語,magicamv
[magicamagireco] マギアレコード 魔法少女まどか☆マギカ外伝,magicamagireco
[magicamagireco2.0] TVアニメ「マギアレコード 魔法少女まどか☆マギカ外伝」,magicamagireco2.0
[symphogear] 戦姫絶唱シンフォギア,symphogear
[symphogearg] 戦姫絶唱シンフォギアG,symphogearg
[symphogeargx] 戦姫絶唱シンフォギアGX,symphogeargx
[symphogearxd] 戦姫絶唱シンフォギアXD UNLIMITED,symphogearxd
[symphogearxded] 戦姫絶唱シンフォギアXD UNLIMITED EXTEND,symphogearxded
[symphogearaxz] 戦姫絶唱シンフォギアAXZ,symphogearaxz
[symphogearxv] 戦姫絶唱シンフォギアXV,symphogearxv
[robono] ロボティクス・ノーツ,robono
[vivid] ビビッドレッド・オペレーション,vivid
[lovelive] ラブライブ！,lovelive
[lovelive2.0] ラブライブ！Vol.2,lovelive2.0
[lovelivesif] ラブライブ！ feat.スクールアイドルフェスティバル,lovelivesif
[lovelivesif2.0] ラブライブ！ feat.スクールアイドルフェスティバル Vol.2,lovelivesif2.0
[lovelivesif3.0] ラブライブ！ feat.スクールアイドルフェスティバル Vol.3～6th Anniversary～,lovelivesif3.0
[lovelivesifvset] ラブライブ！ feat.スクールアイドル フェスティバル バラエティセット,lovelivesifvset
[loveliveext] ラブライブ！ Extra,loveliveext
[lovelivesimext] ラブライブ！ The School Idol Movie Extra,lovelivesimext
[lovelivepbll] プレミアムブースター ラブライブ!スクフェスシリーズ感謝祭 2022【LL】,lovelivepbll
[lovelivesifpbll] プレミアムブースター ラブライブ！スクフェスシリーズ10th Anniversary【LL】,lovelivesifpbll
[lovelivess] ラブライブ！サンシャイン!!,lovelivess
[lovelivessext] ラブライブ！サンシャイン!! Extra,lovelivessext
[lovelivess2.0] ラブライブ！サンシャイン!!Vol.2,lovelivess2.0
[lovelivesssif] ラブライブ！サンシャイン!! feat.スクールアイドルフェスティバル～6th Anniversary～,lovelivesssif
[lovelivepblss] プレミアムブースター ラブライブ!スクフェスシリーズ感謝祭 2022【LSS】,lovelivepblss
[lovelivesssifpblss] プレミアムブースター ラブライブ！スクフェスシリーズ10th Anniversary【LSS】,lovelivesssifpblss
[yhn] 幻日のヨハネ -SUNSHINE in the MIRROR-,yhn
[lovelivenj] ラブライブ！虹ヶ咲学園スクールアイドル同好会 feat.スクールアイドルフェスティバル ALL STARS,lovelivenj
[lovelivenj2.0] ラブライブ！虹ヶ咲学園スクールアイドル同好会,lovelivenj2.0
