name,price,price_text,image_url,description,rarity,card_url,availability,card_id
SP 存在のなくなる日,780,780 円,https://card.yuyu-tei.jp/ws/front/dc/10025.jpg,DC/W01-023S,Unknown,https://yuyu-tei.jp/sell/ws/card/dc/10025,OutOfStock,10025
SP 伝わる温もり,980,980 円,https://card.yuyu-tei.jp/ws/front/dc/10052.jpg,DC/W01-048S,Unknown,https://yuyu-tei.jp/sell/ws/card/dc/10052,InStock,10052
SP 迷子の夢,500,500 円,https://card.yuyu-tei.jp/ws/front/dc/10079.jpg,DC/W01-073S,Unknown,https://yuyu-tei.jp/sell/ws/card/dc/10079,OutOfStock,10079
SP もう、忘れない,980,980 円,https://card.yuyu-tei.jp/ws/front/dc/10107.jpg,DC/W01-099S,Unknown,https://yuyu-tei.jp/sell/ws/card/dc/10107,InStock,10107
RRR 由夢&amp;音姫,320,320 円,https://card.yuyu-tei.jp/ws/front/dc/10007.jpg,DC/W01-006R,Unknown,https://yuyu-tei.jp/sell/ws/card/dc/10007,OutOfStock,10007
RRR 月島 小恋,500,500 円,https://card.yuyu-tei.jp/ws/front/dc/10033.jpg,DC/W01-030R,Unknown,https://yuyu-tei.jp/sell/ws/card/dc/10033,OutOfStock,10033
RRR 朝倉 音夢,320,320 円,https://card.yuyu-tei.jp/ws/front/dc/10061.jpg,DC/W01-056R,Unknown,https://yuyu-tei.jp/sell/ws/card/dc/10061,OutOfStock,10061
RRR 美夏&amp;麻耶,320,320 円,https://card.yuyu-tei.jp/ws/front/dc/10088.jpg,DC/W01-081R,Unknown,https://yuyu-tei.jp/sell/ws/card/dc/10088,InStock,10088
RR 学園長のさくら,120,120 円,https://card.yuyu-tei.jp/ws/front/dc/10001.jpg,DC/W01-001,Unknown,https://yuyu-tei.jp/sell/ws/card/dc/10001,InStock,10001
RR 朝倉 音姫,120,120 円,https://card.yuyu-tei.jp/ws/front/dc/10002.jpg,DC/W01-002,Unknown,https://yuyu-tei.jp/sell/ws/card/dc/10002,InStock,10002
RR 晴れ着のななか,120,120 円,https://card.yuyu-tei.jp/ws/front/dc/10028.jpg,DC/W01-026,Unknown,https://yuyu-tei.jp/sell/ws/card/dc/10028,InStock,10028
RR 晴れ着の小恋,420,420 円,https://card.yuyu-tei.jp/ws/front/dc/10029.jpg,DC/W01-027,Unknown,https://yuyu-tei.jp/sell/ws/card/dc/10029,InStock,10029
RR ゴキゲンな由夢,220,220 円,https://card.yuyu-tei.jp/ws/front/dc/10055.jpg,DC/W01-051,Unknown,https://yuyu-tei.jp/sell/ws/card/dc/10055,InStock,10055
RR お手製弁当を持つ音夢と由夢,120,120 円,https://card.yuyu-tei.jp/ws/front/dc/10056.jpg,DC/W01-052,Unknown,https://yuyu-tei.jp/sell/ws/card/dc/10056,InStock,10056
RR 水越 萌,180,180 円,https://card.yuyu-tei.jp/ws/front/dc/10082.jpg,DC/W01-076,Unknown,https://yuyu-tei.jp/sell/ws/card/dc/10082,OutOfStock,10082
RR 水越 眞子,120,120 円,https://card.yuyu-tei.jp/ws/front/dc/10083.jpg,DC/W01-077,Unknown,https://yuyu-tei.jp/sell/ws/card/dc/10083,InStock,10083
R 音夢&amp;さくら,120,120 円,https://card.yuyu-tei.jp/ws/front/dc/10003.jpg,DC/W01-003,Unknown,https://yuyu-tei.jp/sell/ws/card/dc/10003,InStock,10003
R 霧羽 明日美,180,180 円,https://card.yuyu-tei.jp/ws/front/dc/10004.jpg,DC/W01-004,Unknown,https://yuyu-tei.jp/sell/ws/card/dc/10004,InStock,10004
R 鷺澤 頼子,220,220 円,https://card.yuyu-tei.jp/ws/front/dc/10005.jpg,DC/W01-005,Unknown,https://yuyu-tei.jp/sell/ws/card/dc/10005,InStock,10005
R 由夢&amp;音姫,120,120 円,https://card.yuyu-tei.jp/ws/front/dc/10006.jpg,DC/W01-006,Unknown,https://yuyu-tei.jp/sell/ws/card/dc/10006,InStock,10006
R 記憶消去,180,180 円,https://card.yuyu-tei.jp/ws/front/dc/10019.jpg,DC/W01-018,Unknown,https://yuyu-tei.jp/sell/ws/card/dc/10019,OutOfStock,10019
R 胡ノ宮 環,80,80 円,https://card.yuyu-tei.jp/ws/front/dc/10030.jpg,DC/W01-028,Unknown,https://yuyu-tei.jp/sell/ws/card/dc/10030,InStock,10030
R パジャマの茜,120,120 円,https://card.yuyu-tei.jp/ws/front/dc/10031.jpg,DC/W01-029,Unknown,https://yuyu-tei.jp/sell/ws/card/dc/10031,InStock,10031
R 月島 小恋,120,120 円,https://card.yuyu-tei.jp/ws/front/dc/10032.jpg,DC/W01-030,Unknown,https://yuyu-tei.jp/sell/ws/card/dc/10032,InStock,10032
R 学園のアイドル ことり,80,80 円,https://card.yuyu-tei.jp/ws/front/dc/10034.jpg,DC/W01-031,Unknown,https://yuyu-tei.jp/sell/ws/card/dc/10034,InStock,10034
R 耳かき,80,80 円,https://card.yuyu-tei.jp/ws/front/dc/10046.jpg,DC/W01-043,Unknown,https://yuyu-tei.jp/sell/ws/card/dc/10046,InStock,10046
R 天枷 美春,180,180 円,https://card.yuyu-tei.jp/ws/front/dc/10057.jpg,DC/W01-053,Unknown,https://yuyu-tei.jp/sell/ws/card/dc/10057,InStock,10057
R Yシャツの美夏,120,120 円,https://card.yuyu-tei.jp/ws/front/dc/10058.jpg,DC/W01-054,Unknown,https://yuyu-tei.jp/sell/ws/card/dc/10058,InStock,10058
R 漫画家のななこ,80,80 円,https://card.yuyu-tei.jp/ws/front/dc/10059.jpg,DC/W01-055,Unknown,https://yuyu-tei.jp/sell/ws/card/dc/10059,InStock,10059
R 朝倉 音夢,120,120 円,https://card.yuyu-tei.jp/ws/front/dc/10060.jpg,DC/W01-056,Unknown,https://yuyu-tei.jp/sell/ws/card/dc/10060,InStock,10060
R 美夏、覚醒!,80,80 円,https://card.yuyu-tei.jp/ws/front/dc/10073.jpg,DC/W01-068,Unknown,https://yuyu-tei.jp/sell/ws/card/dc/10073,InStock,10073
R 高坂 まゆき,320,320 円,https://card.yuyu-tei.jp/ws/front/dc/10084.jpg,DC/W01-078,Unknown,https://yuyu-tei.jp/sell/ws/card/dc/10084,InStock,10084
R 雪村 杏,180,180 円,https://card.yuyu-tei.jp/ws/front/dc/10085.jpg,DC/W01-079,Unknown,https://yuyu-tei.jp/sell/ws/card/dc/10085,InStock,10085
R ピロスを抱くアリス,80,80 円,https://card.yuyu-tei.jp/ws/front/dc/10086.jpg,DC/W01-080,Unknown,https://yuyu-tei.jp/sell/ws/card/dc/10086,InStock,10086
R 美夏&amp;麻耶,180,180 円,https://card.yuyu-tei.jp/ws/front/dc/10087.jpg,DC/W01-081,Unknown,https://yuyu-tei.jp/sell/ws/card/dc/10087,InStock,10087
R ホラーは苦手,320,320 円,https://card.yuyu-tei.jp/ws/front/dc/10100.jpg,DC/W01-093,Unknown,https://yuyu-tei.jp/sell/ws/card/dc/10100,InStock,10100
U 鷺澤 美咲,50,50 円,https://card.yuyu-tei.jp/ws/front/dc/10008.jpg,DC/W01-007,Unknown,https://yuyu-tei.jp/sell/ws/card/dc/10008,InStock,10008
U 簡易スーツの和泉子,180,180 円,https://card.yuyu-tei.jp/ws/front/dc/10009.jpg,DC/W01-008,Unknown,https://yuyu-tei.jp/sell/ws/card/dc/10009,InStock,10009
U 桜内 義之,80,80 円,https://card.yuyu-tei.jp/ws/front/dc/10010.jpg,DC/W01-009,Unknown,https://yuyu-tei.jp/sell/ws/card/dc/10010,InStock,10010
U 巫女装束の音姫,50,50 円,https://card.yuyu-tei.jp/ws/front/dc/10011.jpg,DC/W01-010,Unknown,https://yuyu-tei.jp/sell/ws/card/dc/10011,InStock,10011
U 水着のさくら,80,80 円,https://card.yuyu-tei.jp/ws/front/dc/10012.jpg,DC/W01-011,Unknown,https://yuyu-tei.jp/sell/ws/card/dc/10012,InStock,10012
U 決意,80,80 円,https://card.yuyu-tei.jp/ws/front/dc/10020.jpg,DC/W01-019,Unknown,https://yuyu-tei.jp/sell/ws/card/dc/10020,InStock,10020
U ネコ耳メイドさん,50,50 円,https://card.yuyu-tei.jp/ws/front/dc/10021.jpg,DC/W01-020,Unknown,https://yuyu-tei.jp/sell/ws/card/dc/10021,InStock,10021
U 工藤 叶,50,50 円,https://card.yuyu-tei.jp/ws/front/dc/10035.jpg,DC/W01-032,Unknown,https://yuyu-tei.jp/sell/ws/card/dc/10035,InStock,10035
U みっくん&amp;ともちゃん,80,80 円,https://card.yuyu-tei.jp/ws/front/dc/10036.jpg,DC/W01-033,Unknown,https://yuyu-tei.jp/sell/ws/card/dc/10036,InStock,10036
U スキーウェアのななか,50,50 円,https://card.yuyu-tei.jp/ws/front/dc/10037.jpg,DC/W01-034,Unknown,https://yuyu-tei.jp/sell/ws/card/dc/10037,InStock,10037
U 朝倉 純一,50,50 円,https://card.yuyu-tei.jp/ws/front/dc/10038.jpg,DC/W01-035,Unknown,https://yuyu-tei.jp/sell/ws/card/dc/10038,InStock,10038
U 私服のことり,120,120 円,https://card.yuyu-tei.jp/ws/front/dc/10039.jpg,DC/W01-036,Unknown,https://yuyu-tei.jp/sell/ws/card/dc/10039,InStock,10039
U ミス風見学園コンテスト,50,50 円,https://card.yuyu-tei.jp/ws/front/dc/10047.jpg,DC/W01-044,Unknown,https://yuyu-tei.jp/sell/ws/card/dc/10047,InStock,10047
U 仲間と大切な人に,50,50 円,https://card.yuyu-tei.jp/ws/front/dc/10048.jpg,DC/W01-045,Unknown,https://yuyu-tei.jp/sell/ws/card/dc/10048,InStock,10048
U 彩珠 ななこ,50,50 円,https://card.yuyu-tei.jp/ws/front/dc/10062.jpg,DC/W01-057,Unknown,https://yuyu-tei.jp/sell/ws/card/dc/10062,InStock,10062
U 白河 暦,50,50 円,https://card.yuyu-tei.jp/ws/front/dc/10063.jpg,DC/W01-058,Unknown,https://yuyu-tei.jp/sell/ws/card/dc/10063,InStock,10063
U ロボ美春,50,50 円,https://card.yuyu-tei.jp/ws/front/dc/10064.jpg,DC/W01-059,Unknown,https://yuyu-tei.jp/sell/ws/card/dc/10064,InStock,10064
U 美春&amp;音夢,50,50 円,https://card.yuyu-tei.jp/ws/front/dc/10065.jpg,DC/W01-060,Unknown,https://yuyu-tei.jp/sell/ws/card/dc/10065,InStock,10065
U 水越 舞佳,50,50 円,https://card.yuyu-tei.jp/ws/front/dc/10066.jpg,DC/W01-061,Unknown,https://yuyu-tei.jp/sell/ws/card/dc/10066,InStock,10066
U かけがえのない仲間,180,180 円,https://card.yuyu-tei.jp/ws/front/dc/10074.jpg,DC/W01-069,Unknown,https://yuyu-tei.jp/sell/ws/card/dc/10074,InStock,10074
U 見事なカウンター,50,50 円,https://card.yuyu-tei.jp/ws/front/dc/10075.jpg,DC/W01-070,Unknown,https://yuyu-tei.jp/sell/ws/card/dc/10075,InStock,10075
U 八木ブリッヂ長官,80,80 円,https://card.yuyu-tei.jp/ws/front/dc/10089.jpg,DC/W01-082,Unknown,https://yuyu-tei.jp/sell/ws/card/dc/10089,InStock,10089
U 瀬場,50,50 円,https://card.yuyu-tei.jp/ws/front/dc/10090.jpg,DC/W01-083,Unknown,https://yuyu-tei.jp/sell/ws/card/dc/10090,InStock,10090
U 杉並,320,320 円,https://card.yuyu-tei.jp/ws/front/dc/10091.jpg,DC/W01-084,Unknown,https://yuyu-tei.jp/sell/ws/card/dc/10091,InStock,10091
U 沢井 麻耶,50,50 円,https://card.yuyu-tei.jp/ws/front/dc/10092.jpg,DC/W01-085,Unknown,https://yuyu-tei.jp/sell/ws/card/dc/10092,InStock,10092
U 美夏&amp;杏&amp;小恋,50,50 円,https://card.yuyu-tei.jp/ws/front/dc/10093.jpg,DC/W01-086,Unknown,https://yuyu-tei.jp/sell/ws/card/dc/10093,InStock,10093
U 人形劇,50,50 円,https://card.yuyu-tei.jp/ws/front/dc/10101.jpg,DC/W01-094,Unknown,https://yuyu-tei.jp/sell/ws/card/dc/10101,InStock,10101
U 木琴占い,680,680 円,https://card.yuyu-tei.jp/ws/front/dc/10102.jpg,DC/W01-095,Unknown,https://yuyu-tei.jp/sell/ws/card/dc/10102,InStock,10102
C うたまる,30,30 円,https://card.yuyu-tei.jp/ws/front/dc/10013.jpg,DC/W01-012,Unknown,https://yuyu-tei.jp/sell/ws/card/dc/10013,InStock,10013
C はりまお,30,30 円,https://card.yuyu-tei.jp/ws/front/dc/10014.jpg,DC/W01-013,Unknown,https://yuyu-tei.jp/sell/ws/card/dc/10014,InStock,10014
C 紫 和泉子,30,30 円,https://card.yuyu-tei.jp/ws/front/dc/10015.jpg,DC/W01-014,Unknown,https://yuyu-tei.jp/sell/ws/card/dc/10015,InStock,10015
C 芳乃 さくら,30,30 円,https://card.yuyu-tei.jp/ws/front/dc/10016.jpg,DC/W01-015,Unknown,https://yuyu-tei.jp/sell/ws/card/dc/10016,InStock,10016
C 霧羽 香澄,30,30 円,https://card.yuyu-tei.jp/ws/front/dc/10017.jpg,DC/W01-016,Unknown,https://yuyu-tei.jp/sell/ws/card/dc/10017,InStock,10017
C 才色兼備の生徒会長 音姫,30,30 円,https://card.yuyu-tei.jp/ws/front/dc/10018.jpg,DC/W01-017,Unknown,https://yuyu-tei.jp/sell/ws/card/dc/10018,InStock,10018
C 着ぐるみの中の人,30,30 円,https://card.yuyu-tei.jp/ws/front/dc/10022.jpg,DC/W01-021,Unknown,https://yuyu-tei.jp/sell/ws/card/dc/10022,InStock,10022
C 朝倉姉妹のお料理,30,30 円,https://card.yuyu-tei.jp/ws/front/dc/10023.jpg,DC/W01-022,Unknown,https://yuyu-tei.jp/sell/ws/card/dc/10023,InStock,10023
C 板橋 渉,30,30 円,https://card.yuyu-tei.jp/ws/front/dc/10040.jpg,DC/W01-037,Unknown,https://yuyu-tei.jp/sell/ws/card/dc/10040,InStock,10040
C 花咲 茜,30,30 円,https://card.yuyu-tei.jp/ws/front/dc/10041.jpg,DC/W01-038,Unknown,https://yuyu-tei.jp/sell/ws/card/dc/10041,InStock,10041
C 学生服の工藤,30,30 円,https://card.yuyu-tei.jp/ws/front/dc/10042.jpg,DC/W01-039,Unknown,https://yuyu-tei.jp/sell/ws/card/dc/10042,InStock,10042
C 雪月花三人娘,30,30 円,https://card.yuyu-tei.jp/ws/front/dc/10043.jpg,DC/W01-040,Unknown,https://yuyu-tei.jp/sell/ws/card/dc/10043,InStock,10043
C 小恋&amp;ななか,30,30 円,https://card.yuyu-tei.jp/ws/front/dc/10044.jpg,DC/W01-041,Unknown,https://yuyu-tei.jp/sell/ws/card/dc/10044,InStock,10044
C 大和撫子 環,30,30 円,https://card.yuyu-tei.jp/ws/front/dc/10045.jpg,DC/W01-042,Unknown,https://yuyu-tei.jp/sell/ws/card/dc/10045,InStock,10045
C 音夢のお弁当,30,30 円,https://card.yuyu-tei.jp/ws/front/dc/10049.jpg,DC/W01-046,Unknown,https://yuyu-tei.jp/sell/ws/card/dc/10049,InStock,10049
C 転入生,30,30 円,https://card.yuyu-tei.jp/ws/front/dc/10050.jpg,DC/W01-047,Unknown,https://yuyu-tei.jp/sell/ws/card/dc/10050,InStock,10050
C μ(ミュー),120,120 円,https://card.yuyu-tei.jp/ws/front/dc/10067.jpg,DC/W01-062,Unknown,https://yuyu-tei.jp/sell/ws/card/dc/10067,InStock,10067
C HM-A06型 ミナツ,30,30 円,https://card.yuyu-tei.jp/ws/front/dc/10068.jpg,DC/W01-063,Unknown,https://yuyu-tei.jp/sell/ws/card/dc/10068,InStock,10068
C 浴衣の音夢,30,30 円,https://card.yuyu-tei.jp/ws/front/dc/10069.jpg,DC/W01-064,Unknown,https://yuyu-tei.jp/sell/ws/card/dc/10069,InStock,10069
C 体操着の由夢,50,50 円,https://card.yuyu-tei.jp/ws/front/dc/10070.jpg,DC/W01-065,Unknown,https://yuyu-tei.jp/sell/ws/card/dc/10070,InStock,10070
C ゆず&amp;慎,50,50 円,https://card.yuyu-tei.jp/ws/front/dc/10071.jpg,DC/W01-066,Unknown,https://yuyu-tei.jp/sell/ws/card/dc/10071,InStock,10071
C パジャマの由夢,50,50 円,https://card.yuyu-tei.jp/ws/front/dc/10072.jpg,DC/W01-067,Unknown,https://yuyu-tei.jp/sell/ws/card/dc/10072,InStock,10072
