name,price,price_text,image_url,card_url,card_id
SP 存在のなくなる日,780,780 円,https://card.yuyu-tei.jp/ws/front/dc/10025.jpg,https://yuyu-tei.jp/sell/ws/card/dc/10025,10025
SP 伝わる温もり,980,980 円,https://card.yuyu-tei.jp/ws/front/dc/10052.jpg,https://yuyu-tei.jp/sell/ws/card/dc/10052,10052
SP 迷子の夢,500,500 円,https://card.yuyu-tei.jp/ws/front/dc/10079.jpg,https://yuyu-tei.jp/sell/ws/card/dc/10079,10079
SP もう、忘れない,980,980 円,https://card.yuyu-tei.jp/ws/front/dc/10107.jpg,https://yuyu-tei.jp/sell/ws/card/dc/10107,10107
RRR 由夢&amp;音姫,320,320 円,https://card.yuyu-tei.jp/ws/front/dc/10007.jpg,https://yuyu-tei.jp/sell/ws/card/dc/10007,10007
RRR 月島 小恋,500,500 円,https://card.yuyu-tei.jp/ws/front/dc/10033.jpg,https://yuyu-tei.jp/sell/ws/card/dc/10033,10033
RRR 朝倉 音夢,320,320 円,https://card.yuyu-tei.jp/ws/front/dc/10061.jpg,https://yuyu-tei.jp/sell/ws/card/dc/10061,10061
RRR 美夏&amp;麻耶,320,320 円,https://card.yuyu-tei.jp/ws/front/dc/10088.jpg,https://yuyu-tei.jp/sell/ws/card/dc/10088,10088
RR 学園長のさくら,120,120 円,https://card.yuyu-tei.jp/ws/front/dc/10001.jpg,https://yuyu-tei.jp/sell/ws/card/dc/10001,10001
RR 朝倉 音姫,120,120 円,https://card.yuyu-tei.jp/ws/front/dc/10002.jpg,https://yuyu-tei.jp/sell/ws/card/dc/10002,10002
RR 晴れ着のななか,120,120 円,https://card.yuyu-tei.jp/ws/front/dc/10028.jpg,https://yuyu-tei.jp/sell/ws/card/dc/10028,10028
RR 晴れ着の小恋,420,420 円,https://card.yuyu-tei.jp/ws/front/dc/10029.jpg,https://yuyu-tei.jp/sell/ws/card/dc/10029,10029
RR ゴキゲンな由夢,220,220 円,https://card.yuyu-tei.jp/ws/front/dc/10055.jpg,https://yuyu-tei.jp/sell/ws/card/dc/10055,10055
