name,price,price_text,image_url,description,card_url,card_id
R 水着の音姫,120,120 円,https://card.yuyu-tei.jp/ws/front/dcext1.0/10001.jpg,DC/W01-E01,https://yuyu-tei.jp/sell/ws/card/dcext1.0/10001,10001
R 水着のななか,120,120 円,https://card.yuyu-tei.jp/ws/front/dcext1.0/10005.jpg,DC/W01-E05,https://yuyu-tei.jp/sell/ws/card/dcext1.0/10005,10005
R 水着のことり,120,120 円,https://card.yuyu-tei.jp/ws/front/dcext1.0/10006.jpg,DC/W01-E06,https://yuyu-tei.jp/sell/ws/card/dcext1.0/10006,10006
R 水着の音夢,120,120 円,https://card.yuyu-tei.jp/ws/front/dcext1.0/10011.jpg,DC/W01-E11,https://yuyu-tei.jp/sell/ws/card/dcext1.0/10011,10011
R 小悪魔 杏,180,180 円,https://card.yuyu-tei.jp/ws/front/dcext1.0/10015.jpg,DC/W01-E15,https://yuyu-tei.jp/sell/ws/card/dcext1.0/10015,10015
R 水着のアリス,120,120 円,https://card.yuyu-tei.jp/ws/front/dcext1.0/10016.jpg,DC/W01-E16,https://yuyu-tei.jp/sell/ws/card/dcext1.0/10016,10016
C 水着の音夢&amp;さくら,80,80 円,https://card.yuyu-tei.jp/ws/front/dcext1.0/10002.jpg,DC/W01-E02,https://yuyu-tei.jp/sell/ws/card/dcext1.0/10002,10002
C 水着の由夢&amp;さくら,80,80 円,https://card.yuyu-tei.jp/ws/front/dcext1.0/10003.jpg,DC/W01-E03,https://yuyu-tei.jp/sell/ws/card/dcext1.0/10003,10003
C 水着の和泉子,180,180 円,https://card.yuyu-tei.jp/ws/front/dcext1.0/10004.jpg,DC/W01-E04,https://yuyu-tei.jp/sell/ws/card/dcext1.0/10004,10004
C 水着の小恋,120,120 円,https://card.yuyu-tei.jp/ws/front/dcext1.0/10007.jpg,DC/W01-E07,https://yuyu-tei.jp/sell/ws/card/dcext1.0/10007,10007
C 水着のななか&amp;由夢,120,120 円,https://card.yuyu-tei.jp/ws/front/dcext1.0/10008.jpg,DC/W01-E08,https://yuyu-tei.jp/sell/ws/card/dcext1.0/10008,10008
C 水着の環,320,320 円,https://card.yuyu-tei.jp/ws/front/dcext1.0/10009.jpg,DC/W01-E09,https://yuyu-tei.jp/sell/ws/card/dcext1.0/10009,10009
C スイカ割り,80,80 円,https://card.yuyu-tei.jp/ws/front/dcext1.0/10010.jpg,DC/W01-E10,https://yuyu-tei.jp/sell/ws/card/dcext1.0/10010,10010
C 水着の美春,120,120 円,https://card.yuyu-tei.jp/ws/front/dcext1.0/10012.jpg,DC/W01-E12,https://yuyu-tei.jp/sell/ws/card/dcext1.0/10012,10012
C 水着の由夢,320,320 円,https://card.yuyu-tei.jp/ws/front/dcext1.0/10013.jpg,DC/W01-E13,https://yuyu-tei.jp/sell/ws/card/dcext1.0/10013,10013
C 水着の麻耶,80,80 円,https://card.yuyu-tei.jp/ws/front/dcext1.0/10017.jpg,DC/W01-E17,https://yuyu-tei.jp/sell/ws/card/dcext1.0/10017,10017
C 小川で遊ぼう!,500,500 円,https://card.yuyu-tei.jp/ws/front/dcext1.0/10018.jpg,DC/W01-E18,https://yuyu-tei.jp/sell/ws/card/dcext1.0/10018,10018
CC ねことお風呂で,120,120 円,https://card.yuyu-tei.jp/ws/front/dcext1.0/10014.jpg,DC/W01-E14,https://yuyu-tei.jp/sell/ws/card/dcext1.0/10014,10014
S-R 水着の音姫(ホロ),180,180 円,https://card.yuyu-tei.jp/ws/front/dcext1.0/10019.jpg,DC/W01-E01,https://yuyu-tei.jp/sell/ws/card/dcext1.0/10019,10019
S-R 水着のななか(ホロ),180,180 円,https://card.yuyu-tei.jp/ws/front/dcext1.0/10023.jpg,DC/W01-E05,https://yuyu-tei.jp/sell/ws/card/dcext1.0/10023,10023
S-R 水着のことり(ホロ),180,180 円,https://card.yuyu-tei.jp/ws/front/dcext1.0/10024.jpg,DC/W01-E06,https://yuyu-tei.jp/sell/ws/card/dcext1.0/10024,10024
S-R 水着の音夢(ホロ),180,180 円,https://card.yuyu-tei.jp/ws/front/dcext1.0/10029.jpg,DC/W01-E11,https://yuyu-tei.jp/sell/ws/card/dcext1.0/10029,10029
S-R 小悪魔 杏(ホロ),220,220 円,https://card.yuyu-tei.jp/ws/front/dcext1.0/10033.jpg,DC/W01-E15,https://yuyu-tei.jp/sell/ws/card/dcext1.0/10033,10033
S-R 水着のアリス(ホロ),180,180 円,https://card.yuyu-tei.jp/ws/front/dcext1.0/10034.jpg,DC/W01-E16,https://yuyu-tei.jp/sell/ws/card/dcext1.0/10034,10034
S-C 水着の音夢&amp;さくら(ホロ),120,120 円,https://card.yuyu-tei.jp/ws/front/dcext1.0/10020.jpg,DC/W01-E02,https://yuyu-tei.jp/sell/ws/card/dcext1.0/10020,10020
S-C 水着の由夢&amp;さくら(ホロ),120,120 円,https://card.yuyu-tei.jp/ws/front/dcext1.0/10021.jpg,DC/W01-E03,https://yuyu-tei.jp/sell/ws/card/dcext1.0/10021,10021
S-C 水着の和泉子(ホロ),220,220 円,https://card.yuyu-tei.jp/ws/front/dcext1.0/10022.jpg,DC/W01-E04,https://yuyu-tei.jp/sell/ws/card/dcext1.0/10022,10022
S-C 水着の小恋(ホロ),180,180 円,https://card.yuyu-tei.jp/ws/front/dcext1.0/10025.jpg,DC/W01-E07,https://yuyu-tei.jp/sell/ws/card/dcext1.0/10025,10025
S-C 水着のななか&amp;由夢(ホロ),180,180 円,https://card.yuyu-tei.jp/ws/front/dcext1.0/10026.jpg,DC/W01-E08,https://yuyu-tei.jp/sell/ws/card/dcext1.0/10026,10026
S-C 水着の環(ホロ),420,420 円,https://card.yuyu-tei.jp/ws/front/dcext1.0/10027.jpg,DC/W01-E09,https://yuyu-tei.jp/sell/ws/card/dcext1.0/10027,10027
