name,price,price_text,image_url,description,card_url,card_id,reading
R 水着の音姫,120,120 円,https://card.yuyu-tei.jp/ws/front/dcext1.0/10001.jpg,DC/W01-E01,https://yuyu-tei.jp/sell/ws/card/dcext1.0/10001,10001,ミズギノオトメ
R 水着のななか,120,120 円,https://card.yuyu-tei.jp/ws/front/dcext1.0/10005.jpg,DC/W01-E05,https://yuyu-tei.jp/sell/ws/card/dcext1.0/10005,10005,ミズギノナナカ
R 水着のことり,120,120 円,https://card.yuyu-tei.jp/ws/front/dcext1.0/10006.jpg,DC/W01-E06,https://yuyu-tei.jp/sell/ws/card/dcext1.0/10006,10006,ミズギノコトリ
R 水着の音夢,120,120 円,https://card.yuyu-tei.jp/ws/front/dcext1.0/10011.jpg,DC/W01-E11,https://yuyu-tei.jp/sell/ws/card/dcext1.0/10011,10011,ミズギノネム
R 小悪魔 杏,180,180 円,https://card.yuyu-tei.jp/ws/front/dcext1.0/10015.jpg,DC/W01-E15,https://yuyu-tei.jp/sell/ws/card/dcext1.0/10015,10015,コアクマアンズ
R 水着のアリス,120,120 円,https://card.yuyu-tei.jp/ws/front/dcext1.0/10016.jpg,DC/W01-E16,https://yuyu-tei.jp/sell/ws/card/dcext1.0/10016,10016,ミズギノアリス
C 水着の音夢&さくら,80,80 円,https://card.yuyu-tei.jp/ws/front/dcext1.0/10002.jpg,DC/W01-E02,https://yuyu-tei.jp/sell/ws/card/dcext1.0/10002,10002,ミズギノネムアンドサクラ
C 水着の由夢&さくら,80,80 円,https://card.yuyu-tei.jp/ws/front/dcext1.0/10003.jpg,DC/W01-E03,https://yuyu-tei.jp/sell/ws/card/dcext1.0/10003,10003,ミズギノユメアンドサクラ
C 水着の和泉子,180,180 円,https://card.yuyu-tei.jp/ws/front/dcext1.0/10004.jpg,DC/W01-E04,https://yuyu-tei.jp/sell/ws/card/dcext1.0/10004,10004,ミズギノイズミコ
C 水着の小恋,120,120 円,https://card.yuyu-tei.jp/ws/front/dcext1.0/10007.jpg,DC/W01-E07,https://yuyu-tei.jp/sell/ws/card/dcext1.0/10007,10007,ミズギノココ
C 水着のななか&由夢,120,120 円,https://card.yuyu-tei.jp/ws/front/dcext1.0/10008.jpg,DC/W01-E08,https://yuyu-tei.jp/sell/ws/card/dcext1.0/10008,10008,ミズギノナナカアンドユメ
C 水着の環,320,320 円,https://card.yuyu-tei.jp/ws/front/dcext1.0/10009.jpg,DC/W01-E09,https://yuyu-tei.jp/sell/ws/card/dcext1.0/10009,10009,ミズギノタマキ
C スイカ割り,80,80 円,https://card.yuyu-tei.jp/ws/front/dcext1.0/10010.jpg,DC/W01-E10,https://yuyu-tei.jp/sell/ws/card/dcext1.0/10010,10010,スイカワリ
