name,name_power,price,price_text,image_url,description,card_url,card_id
R 水着の音姫,R 水着の音姫(ミズギノオトメ),120,120 円,https://card.yuyu-tei.jp/ws/front/dcext1.0/10001.jpg,DC/W01-E01,https://yuyu-tei.jp/sell/ws/card/dcext1.0/10001,10001
R 水着のななか,R 水着のななか(ミズギノナナカ),120,120 円,https://card.yuyu-tei.jp/ws/front/dcext1.0/10005.jpg,DC/W01-E05,https://yuyu-tei.jp/sell/ws/card/dcext1.0/10005,10005
R 水着のことり,R 水着のことり(ミズギノコトリ),120,120 円,https://card.yuyu-tei.jp/ws/front/dcext1.0/10006.jpg,DC/W01-E06,https://yuyu-tei.jp/sell/ws/card/dcext1.0/10006,10006
R 水着の音夢,R 水着の音夢(ミズギノネム),120,120 円,https://card.yuyu-tei.jp/ws/front/dcext1.0/10011.jpg,DC/W01-E11,https://yuyu-tei.jp/sell/ws/card/dcext1.0/10011,10011
R 小悪魔 杏,R 小悪魔 杏(コアクマアンズ),180,180 円,https://card.yuyu-tei.jp/ws/front/dcext1.0/10015.jpg,DC/W01-E15,https://yuyu-tei.jp/sell/ws/card/dcext1.0/10015,10015
R 水着のアリス,R 水着のアリス(ミズギノアリス),120,120 円,https://card.yuyu-tei.jp/ws/front/dcext1.0/10016.jpg,DC/W01-E16,https://yuyu-tei.jp/sell/ws/card/dcext1.0/10016,10016
C 水着の音夢&さくら,C 水着の音夢&さくら(ミズギノネムアンドサクラ),80,80 円,https://card.yuyu-tei.jp/ws/front/dcext1.0/10002.jpg,DC/W01-E02,https://yuyu-tei.jp/sell/ws/card/dcext1.0/10002,10002
C 水着の由夢&さくら,C 水着の由夢&さくら(ミズギノユメアンドサクラ),80,80 円,https://card.yuyu-tei.jp/ws/front/dcext1.0/10003.jpg,DC/W01-E03,https://yuyu-tei.jp/sell/ws/card/dcext1.0/10003,10003
C 水着の和泉子,C 水着の和泉子(ミズギノイズミコ),180,180 円,https://card.yuyu-tei.jp/ws/front/dcext1.0/10004.jpg,DC/W01-E04,https://yuyu-tei.jp/sell/ws/card/dcext1.0/10004,10004
C 水着の小恋,C 水着の小恋(ミズギノココ),120,120 円,https://card.yuyu-tei.jp/ws/front/dcext1.0/10007.jpg,DC/W01-E07,https://yuyu-tei.jp/sell/ws/card/dcext1.0/10007,10007
